Dataset,Model,Cloud cover,Predicted Value
Mornings Special,CatBoost,0.9292929292929294,293.30545866843585
Mornings Special,CatBoost,0.9393939393939394,293.0433747962982
Mornings Special,CatBoost,0.9494949494949496,291.62741271483503
Mornings Special,CatBoost,0.9595959595959597,290.9734717591106
Mornings Special,CatBoost,0.9696969696969697,290.7847123760121
Mornings Special,CatBoost,0.9797979797979799,290.43398593754466
Mornings Special,CatBoost,0.98989898989899,291.39645689915585
Mornings Special,CatBoost,1.0,296.749164235333
Mornings Special,XGBoost,0.0,323.70233154296875
Mornings Special,XGBoost,0.010101010101010102,308.63720703125
Mornings Special,XGBoost,0.020202020202020204,369.94232177734375
Mornings Special,XGBoost,0.030303030303030304,319.0255432128906
Mornings Special,XGBoost,0.04040404040404041,307.0308532714844
Mornings Special,XGBoost,0.05050505050505051,312.40045166015625
Mornings Special,XGBoost,0.06060606060606061,305.41229248046875
Mornings Special,XGBoost,0.07070707070707072,307.73419189453125
Mornings Special,XGBoost,0.08080808080808081,307.7655029296875
Mornings Special,XGBoost,0.09090909090909091,335.5101013183594
Mornings Special,XGBoost,0.10101010101010102,304.7679138183594
Mornings Special,XGBoost,0.11111111111111112,306.0491027832031
Mornings Special,XGBoost,0.12121212121212122,306.20672607421875
Mornings Special,XGBoost,0.13131313131313133,306.21624755859375
Mornings Special,XGBoost,0.14141414141414144,300.829833984375
Mornings Special,XGBoost,0.15151515151515152,300.5967102050781
Mornings Special,XGBoost,0.16161616161616163,298.205322265625
Mornings Special,XGBoost,0.17171717171717174,300.7065124511719
Mornings Special,XGBoost,0.18181818181818182,300.9207458496094
Mornings Special,XGBoost,0.19191919191919193,301.2265319824219
Mornings Special,XGBoost,0.20202020202020204,320.7155456542969
Mornings Special,XGBoost,0.21212121212121213,323.7555847167969
Mornings Special,XGBoost,0.22222222222222224,332.573486328125
Mornings Special,XGBoost,0.23232323232323235,312.5008544921875
Mornings Special,XGBoost,0.24242424242424243,312.63824462890625
Mornings Special,XGBoost,0.25252525252525254,313.51397705078125
Mornings Special,XGBoost,0.26262626262626265,313.6574401855469
Mornings Special,XGBoost,0.27272727272727276,309.68438720703125
Mornings Special,XGBoost,0.2828282828282829,309.68438720703125
Mornings Special,XGBoost,0.29292929292929293,306.76055908203125
Mornings Special,XGBoost,0.30303030303030304,296.47491455078125
Mornings Special,XGBoost,0.31313131313131315,296.5858154296875
Mornings Special,XGBoost,0.32323232323232326,296.5858154296875
Mornings Special,XGBoost,0.33333333333333337,296.37420654296875
Mornings Special,XGBoost,0.3434343434343435,305.45452880859375
Mornings Special,XGBoost,0.3535353535353536,302.4774169921875
