Dataset,Model,5 Walkable path length,Predicted Value
Lunches,LightGBM,9659.220606060606,1114.3642181087903
Lunches,LightGBM,9796.488282828283,1114.787023842488
Lunches,LightGBM,9933.75595959596,1113.8814009671764
Lunches,LightGBM,10071.023636363636,1113.9245458236803
Lunches,LightGBM,10208.291313131313,1113.9245458236803
Lunches,LightGBM,10345.55898989899,1113.960304507008
Lunches,LightGBM,10482.826666666666,1113.996221257388
Lunches,LightGBM,10620.094343434343,1113.9357766297985
Lunches,LightGBM,10757.36202020202,1113.9357766297985
Lunches,LightGBM,10894.629696969696,1113.9107297101662
Lunches,LightGBM,11031.897373737373,1113.8709226801284
Lunches,LightGBM,11169.16505050505,1114.5180717657447
Lunches,LightGBM,11306.432727272726,1114.4342262246428
Lunches,LightGBM,11443.700404040403,1114.4426794145206
Lunches,LightGBM,11580.96808080808,1110.425149538737
Lunches,LightGBM,11718.235757575758,1110.4352456960198
Lunches,LightGBM,11855.503434343434,1110.4352456960198
Lunches,LightGBM,11992.771111111111,1107.6322502058208
Lunches,LightGBM,12130.038787878788,1107.534861912956
Lunches,LightGBM,12267.306464646465,1107.5767512261104
Lunches,LightGBM,12404.574141414141,1107.5767512261104
Lunches,LightGBM,12541.841818181818,1105.6558264586874
Lunches,LightGBM,12679.109494949495,1105.665511655822
Lunches,LightGBM,12816.377171717171,1105.665511655822
Lunches,LightGBM,12953.644848484848,1105.665511655822
Lunches,LightGBM,13090.912525252525,1105.3271083284837
Lunches,LightGBM,13228.180202020201,1105.3271083284837
Lunches,LightGBM,13365.447878787878,1105.3271083284837
Lunches,LightGBM,13502.715555555555,1105.3271083284837
Lunches,LightGBM,13639.983232323231,1105.3271083284837
Lunches,LightGBM,13777.250909090908,1105.3271083284837
Lunches,LightGBM,13914.518585858585,1105.3271083284837
Lunches,LightGBM,14051.786262626261,1105.3271083284837
Lunches,LightGBM,14189.053939393938,1105.3271083284837
Lunches,LightGBM,14326.321616161615,1105.3271083284837
Lunches,LightGBM,14463.589292929291,1105.3271083284837
Lunches,LightGBM,14600.856969696968,1105.3271083284837
Lunches,LightGBM,14738.124646464647,1105.3271083284837
Lunches,LightGBM,14875.392323232323,1105.3271083284837
Lunches,LightGBM,15012.66,1105.3271083284837
Lunches,XGBoost,1423.16,1108.869140625
Lunches,XGBoost,1560.4276767676768,1108.869140625
Lunches,XGBoost,1697.6953535353537,1108.869140625
Lunches,XGBoost,1834.9630303030303,1108.869140625
Lunches,XGBoost,1972.230707070707,1108.869140625
Lunches,XGBoost,2109.498383838384,1108.869140625
Lunches,XGBoost,2246.766060606061,1108.869140625
Lunches,XGBoost,2384.0337373737375,1108.869140625
Lunches,XGBoost,2521.301414141414,1108.869140625
Lunches,XGBoost,2658.569090909091,1108.869140625
Lunches,XGBoost,2795.8367676767675,1108.869140625
Lunches,XGBoost,2933.104444444444,1108.869140625
Lunches,XGBoost,3070.372121212121,1108.869140625
Lunches,XGBoost,3207.639797979798,1108.869140625
Lunches,XGBoost,3344.9074747474747,1108.869140625
Lunches,XGBoost,3482.175151515152,1108.869140625
Lunches,XGBoost,3619.4428282828285,1108.869140625
Lunches,XGBoost,3756.710505050505,1108.869140625
Lunches,XGBoost,3893.978181818182,1108.869140625
Lunches,XGBoost,4031.2458585858585,1108.869140625
Lunches,XGBoost,4168.513535353535,1108.869140625
Lunches,XGBoost,4305.781212121212,1107.587646484375
Lunches,XGBoost,4443.0488888888885,1107.587646484375
Lunches,XGBoost,4580.316565656565,1107.587646484375
Lunches,XGBoost,4717.584242424242,1107.587646484375
