Dataset,Model,Elderly,Predicted Value
Lunches,LightGBM,52.121212121212125,1088.3526553207967
Lunches,LightGBM,52.72727272727273,1088.3526553207967
Lunches,LightGBM,53.333333333333336,1088.3526553207967
Lunches,LightGBM,53.93939393939394,1088.3526553207967
Lunches,LightGBM,54.54545454545455,2271.6906769837287
Lunches,LightGBM,55.151515151515156,2271.6906769837287
Lunches,LightGBM,55.75757575757576,2271.6906769837287
Lunches,LightGBM,56.36363636363637,2271.6906769837287
Lunches,LightGBM,56.96969696969697,2271.6906769837287
Lunches,LightGBM,57.57575757575758,2271.6906769837287
Lunches,LightGBM,58.18181818181819,2271.6906769837287
Lunches,LightGBM,58.78787878787879,2271.6906769837287
Lunches,LightGBM,59.3939393939394,2271.6906769837287
Lunches,LightGBM,60.0,2271.6906769837287
Lunches,XGBoost,0.0,1064.7763671875
Lunches,XGBoost,0.6060606060606061,1064.7763671875
Lunches,XGBoost,1.2121212121212122,1077.94921875
Lunches,XGBoost,1.8181818181818183,1077.94921875
Lunches,XGBoost,2.4242424242424243,1077.8223876953125
Lunches,XGBoost,3.0303030303030303,1077.8389892578125
Lunches,XGBoost,3.6363636363636367,1077.8389892578125
Lunches,XGBoost,4.242424242424242,1077.8389892578125
Lunches,XGBoost,4.848484848484849,1077.8389892578125
Lunches,XGBoost,5.454545454545455,1077.822021484375
Lunches,XGBoost,6.0606060606060606,1085.82470703125
Lunches,XGBoost,6.666666666666667,1085.82470703125
Lunches,XGBoost,7.272727272727273,1085.8858642578125
Lunches,XGBoost,7.878787878787879,1085.8858642578125
Lunches,XGBoost,8.484848484848484,1086.5137939453125
Lunches,XGBoost,9.090909090909092,1083.86181640625
Lunches,XGBoost,9.696969696969697,1083.86181640625
Lunches,XGBoost,10.303030303030303,1090.206787109375
Lunches,XGBoost,10.90909090909091,1090.206787109375
Lunches,XGBoost,11.515151515151516,1090.206787109375
Lunches,XGBoost,12.121212121212121,1090.206787109375
Lunches,XGBoost,12.727272727272728,1090.206787109375
Lunches,XGBoost,13.333333333333334,1090.6591796875
Lunches,XGBoost,13.93939393939394,1090.6591796875
Lunches,XGBoost,14.545454545454547,1091.11572265625
Lunches,XGBoost,15.151515151515152,1091.22412109375
Lunches,XGBoost,15.757575757575758,1091.22412109375
Lunches,XGBoost,16.363636363636363,1092.6351318359375
Lunches,XGBoost,16.96969696969697,1092.6351318359375
Lunches,XGBoost,17.575757575757578,1092.6351318359375
Lunches,XGBoost,18.181818181818183,1092.6351318359375
Lunches,XGBoost,18.78787878787879,1092.6351318359375
Lunches,XGBoost,19.393939393939394,1092.6351318359375
Lunches,XGBoost,20.0,1092.6724853515625
Lunches,XGBoost,20.606060606060606,1092.6724853515625
Lunches,XGBoost,21.21212121212121,1092.79931640625
Lunches,XGBoost,21.81818181818182,1092.79931640625
Lunches,XGBoost,22.424242424242426,1092.79931640625
Lunches,XGBoost,23.03030303030303,1092.79931640625
Lunches,XGBoost,23.636363636363637,1092.79931640625
Lunches,XGBoost,24.242424242424242,1092.769775390625
Lunches,XGBoost,24.848484848484848,1092.769775390625
Lunches,XGBoost,25.454545454545457,1092.769775390625
Lunches,XGBoost,26.060606060606062,1092.769775390625
Lunches,XGBoost,26.666666666666668,1092.769775390625
Lunches,XGBoost,27.272727272727273,1092.769775390625
Lunches,XGBoost,27.87878787878788,1092.769775390625
Lunches,XGBoost,28.484848484848484,1092.769775390625
Lunches,XGBoost,29.090909090909093,1092.769775390625
Lunches,XGBoost,29.6969696969697,1092.769775390625
Lunches,XGBoost,30.303030303030305,1092.769775390625
Lunches,XGBoost,30.90909090909091,1092.769775390625
Lunches,XGBoost,31.515151515151516,1092.358154296875
Lunches,XGBoost,32.121212121212125,1092.358154296875
Lunches,XGBoost,32.72727272727273,1092.358154296875
Lunches,XGBoost,33.333333333333336,1092.358154296875
Lunches,XGBoost,33.93939393939394,1092.358154296875
Lunches,XGBoost,34.54545454545455,1092.358154296875
Lunches,XGBoost,35.151515151515156,1092.358154296875
Lunches,XGBoost,35.75757575757576,1092.358154296875
Lunches,XGBoost,36.36363636363637,1092.358154296875
Lunches,XGBoost,36.96969696969697,1092.358154296875
Lunches,XGBoost,37.57575757575758,1092.358154296875
Lunches,XGBoost,38.18181818181818,1092.358154296875
Lunches,XGBoost,38.78787878787879,1092.358154296875
Lunches,XGBoost,39.3939393939394,1092.4132080078125
Lunches,XGBoost,40.0,1092.4132080078125
Lunches,XGBoost,40.60606060606061,1092.4132080078125
Lunches,XGBoost,41.21212121212121,1092.4132080078125
Lunches,XGBoost,41.81818181818182,1092.4132080078125
Lunches,XGBoost,42.42424242424242,1092.4132080078125
Lunches,XGBoost,43.03030303030303,1092.4132080078125
Lunches,XGBoost,43.63636363636364,1092.4132080078125
Lunches,XGBoost,44.24242424242424,1092.4132080078125
Lunches,XGBoost,44.84848484848485,1092.4132080078125
Lunches,XGBoost,45.45454545454545,1092.4132080078125
Lunches,XGBoost,46.06060606060606,1092.4132080078125
Lunches,XGBoost,46.66666666666667,1092.4132080078125
Lunches,XGBoost,47.27272727272727,1092.4132080078125
Lunches,XGBoost,47.87878787878788,1092.4132080078125
Lunches,XGBoost,48.484848484848484,1092.4132080078125
Lunches,XGBoost,49.09090909090909,1092.42041015625
Lunches,XGBoost,49.696969696969695,1092.42041015625
Lunches,XGBoost,50.303030303030305,1092.42041015625
Lunches,XGBoost,50.909090909090914,1092.42041015625
Lunches,XGBoost,51.515151515151516,1092.42041015625
Lunches,XGBoost,52.121212121212125,1092.42041015625
Lunches,XGBoost,52.72727272727273,1092.42041015625
Lunches,XGBoost,53.333333333333336,1092.42041015625
Lunches,XGBoost,53.93939393939394,1092.42041015625
Lunches,XGBoost,54.54545454545455,1092.42041015625
Lunches,XGBoost,55.151515151515156,1092.42041015625
