Dataset,Model,15 Tree density,Predicted Value
Afternoons,CatBoost,0.060331400559172854,1220.5158359015436
Afternoons,CatBoost,0.06181354774324773,1220.5158359015436
Afternoons,CatBoost,0.06329569492732261,1220.5158359015436
Afternoons,CatBoost,0.06477784211139749,1220.5158359015436
Afternoons,CatBoost,0.06625998929547237,1220.5158359015436
Afternoons,CatBoost,0.06774213647954724,1220.5158359015436
Afternoons,CatBoost,0.06922428366362213,1220.5158359015436
Afternoons,CatBoost,0.07070643084769701,1220.5158359015436
Afternoons,CatBoost,0.0721885780317719,1220.5158359015436
Afternoons,CatBoost,0.07367072521584676,1220.5158359015436
Afternoons,CatBoost,0.07515287239992165,1220.5158359015436
Afternoons,CatBoost,0.07663501958399653,1220.5158359015436
Afternoons,CatBoost,0.0781171667680714,1220.5158359015436
Afternoons,CatBoost,0.07959931395214628,1220.5158359015436
Afternoons,CatBoost,0.08108146113622117,1220.5158359015436
Afternoons,CatBoost,0.08256360832029605,1220.5158359015436
Afternoons,CatBoost,0.08404575550437092,1220.852022935857
Afternoons,CatBoost,0.0855279026884458,1220.852022935857
Afternoons,CatBoost,0.08701004987252069,1220.852022935857
Afternoons,CatBoost,0.08849219705659556,1220.852022935857
Afternoons,CatBoost,0.08997434424067044,1220.852022935857
Afternoons,CatBoost,0.09145649142474532,1220.852022935857
Afternoons,CatBoost,0.0929386386088202,1220.852022935857
Afternoons,CatBoost,0.09442078579289508,1220.852022935857
Afternoons,CatBoost,0.09590293297696996,1220.9866120148552
Afternoons,CatBoost,0.09738508016104484,1221.418575825411
Afternoons,CatBoost,0.09886722734511973,1225.1373298033063
Afternoons,CatBoost,0.1003493745291946,1225.1373298033063
Afternoons,CatBoost,0.10183152171326948,1223.4397596939496
Afternoons,CatBoost,0.10331366889734436,1225.1248803017716
Afternoons,CatBoost,0.10479581608141925,1226.4940943110716
Afternoons,CatBoost,0.10627796326549412,1225.2864799008842
Afternoons,CatBoost,0.107760110449569,1225.160218236727
Afternoons,CatBoost,0.10924225763364388,1222.586336711154
Afternoons,CatBoost,0.11072440481771875,1223.6339942627114
Afternoons,CatBoost,0.11220655200179364,1223.6209022889166
Afternoons,CatBoost,0.11368869918586852,1221.9854351303388
Afternoons,CatBoost,0.1151708463699434,1221.9854351303388
Afternoons,CatBoost,0.11665299355401827,1221.9854351303388
Afternoons,CatBoost,0.11813514073809316,1221.9854351303388
Afternoons,CatBoost,0.11961728792216804,1216.7020825088446
Afternoons,CatBoost,0.12109943510624292,1213.5768111630123
Afternoons,CatBoost,0.12258158229031779,1213.5768111630123
Afternoons,CatBoost,0.12406372947439268,1213.5768111630123
Afternoons,CatBoost,0.12554587665846756,1213.5768111630123
Afternoons,CatBoost,0.12702802384254244,1213.5768111630123
Afternoons,CatBoost,0.12851017102661733,1213.5768111630123
Afternoons,CatBoost,0.1299923182106922,1213.5768111630123
Afternoons,CatBoost,0.1314744653947671,1213.5768111630123
