Dataset,Model,5 Bench density,Predicted Value
Mornings Special,LightGBM,0.00011070640527425082,301.19450216497785
Mornings Special,LightGBM,0.00012170546786006471,301.19450216497785
Mornings Special,LightGBM,0.00013270453044587858,301.19450216497785
Mornings Special,LightGBM,0.00014370359303169245,300.75687230440985
Mornings Special,LightGBM,0.00015470265561750633,310.73025902182917
Mornings Special,LightGBM,0.00016570171820332023,310.73127513142947
Mornings Special,LightGBM,0.0001767007807891341,312.49083247598725
Mornings Special,LightGBM,0.00018769984337494797,312.49083247598725
Mornings Special,LightGBM,0.00019869890596076184,312.97198089663516
Mornings Special,LightGBM,0.0002096979685465757,311.8310440518429
Mornings Special,LightGBM,0.0002206970311323896,312.16255214308694
Mornings Special,LightGBM,0.00023169609371820348,312.2159379888306
Mornings Special,LightGBM,0.00024269515630401736,312.53672466901793
Mornings Special,LightGBM,0.0002536942188898313,311.2117639701206
Mornings Special,LightGBM,0.00026469328147564513,307.26890093235113
Mornings Special,LightGBM,0.000275692344061459,307.26890093235113
Mornings Special,LightGBM,0.0002866914066472729,289.1452089968974
Mornings Special,LightGBM,0.00029769046923308677,289.2565614654992
Mornings Special,LightGBM,0.00030868953181890067,289.1062655660834
Mornings Special,LightGBM,0.00031968859440471457,289.1062655660834
Mornings Special,LightGBM,0.0003306876569905284,289.0251199678525
Mornings Special,LightGBM,0.0003416867195763423,288.8272596638017
Mornings Special,LightGBM,0.00035268578216215616,288.4292196157364
Mornings Special,LightGBM,0.00036368484474797006,288.4292196157364
Mornings Special,LightGBM,0.00037468390733378396,288.66050214547244
Mornings Special,LightGBM,0.0003856829699195978,288.66050214547244
Mornings Special,LightGBM,0.0003966820325054117,290.3399739884311
Mornings Special,LightGBM,0.00040768109509122555,291.7481274497359
Mornings Special,LightGBM,0.00041868015767703944,291.7481274497359
Mornings Special,LightGBM,0.00042967922026285334,291.8550487969776
Mornings Special,LightGBM,0.0004406782828486672,291.55160999269856
Mornings Special,LightGBM,0.0004516773454344811,291.55160999269856
Mornings Special,LightGBM,0.000462676408020295,291.55160999269856
Mornings Special,LightGBM,0.00047367547060610883,291.55160999269856
