Dataset,Model,5 Tram count,Predicted Value
Mornings,CatBoost,4.363636363636364,702.6800784017212
Mornings,CatBoost,4.525252525252526,702.6800784017212
Mornings,CatBoost,4.686868686868687,702.6800784017212
Mornings,CatBoost,4.848484848484849,702.6800784017212
Mornings,CatBoost,5.01010101010101,702.6800784017212
Mornings,CatBoost,5.171717171717172,702.6800784017212
Mornings,CatBoost,5.333333333333334,702.6800784017212
Mornings,CatBoost,5.494949494949496,702.6800784017212
Mornings,CatBoost,5.6565656565656575,727.63645828642
Mornings,CatBoost,5.818181818181818,727.63645828642
Mornings,CatBoost,5.97979797979798,727.63645828642
Mornings,CatBoost,6.141414141414142,727.63645828642
Mornings,CatBoost,6.303030303030304,727.63645828642
Mornings,CatBoost,6.464646464646465,727.63645828642
Mornings,CatBoost,6.626262626262627,727.63645828642
Mornings,CatBoost,6.787878787878788,727.63645828642
Mornings,CatBoost,6.94949494949495,727.63645828642
Mornings,CatBoost,7.111111111111112,727.63645828642
Mornings,CatBoost,7.272727272727273,727.63645828642
Mornings,CatBoost,7.434343434343435,727.63645828642
Mornings,CatBoost,7.595959595959597,727.63645828642
Mornings,CatBoost,7.757575757575758,727.63645828642
Mornings,CatBoost,7.91919191919192,727.63645828642
Mornings,CatBoost,8.080808080808081,727.63645828642
Mornings,CatBoost,8.242424242424244,727.63645828642
Mornings,CatBoost,8.404040404040405,727.63645828642
Mornings,CatBoost,8.565656565656566,727.63645828642
Mornings,CatBoost,8.727272727272728,727.63645828642
Mornings,CatBoost,8.88888888888889,727.63645828642
Mornings,CatBoost,9.050505050505052,727.63645828642
Mornings,CatBoost,9.212121212121213,727.63645828642
Mornings,CatBoost,9.373737373737374,727.63645828642
Mornings,CatBoost,9.535353535353536,728.8598767332131
Mornings,CatBoost,9.696969696969697,728.8598767332131
Mornings,CatBoost,9.85858585858586,728.8598767332131
Mornings,CatBoost,10.02020202020202,728.8598767332131
Mornings,CatBoost,10.181818181818183,728.8598767332131
Mornings,CatBoost,10.343434343434344,728.8598767332131
Mornings,CatBoost,10.505050505050505,729.1314183905492
Mornings,CatBoost,10.666666666666668,729.1314183905492
Mornings,CatBoost,10.828282828282829,729.1314183905492
Mornings,CatBoost,10.989898989898991,729.1314183905492
Mornings,CatBoost,11.151515151515152,729.1314183905492
Mornings,CatBoost,11.313131313131315,729.1314183905492
Mornings,CatBoost,11.474747474747476,729.1314183905492
Mornings,CatBoost,11.636363636363637,729.1314183905492
Mornings,CatBoost,11.7979797979798,729.1314183905492
Mornings,CatBoost,11.95959595959596,729.1314183905492
Mornings,CatBoost,12.121212121212123,729.1314183905492
Mornings,CatBoost,12.282828282828284,729.1314183905492
Mornings,CatBoost,12.444444444444445,729.1314183905492
Mornings,CatBoost,12.606060606060607,729.1314183905492
Mornings,CatBoost,12.767676767676768,729.1314183905492
Mornings,CatBoost,12.92929292929293,729.1314183905492
Mornings,CatBoost,13.090909090909092,729.1314183905492
Mornings,CatBoost,13.252525252525254,729.1314183905492
