Dataset,Model,5 Green area,Predicted Value
Lunches,LightGBM,58252.278787878786,1133.5796206545508
Lunches,LightGBM,59223.1501010101,1133.5796206545508
Lunches,LightGBM,60194.02141414141,1133.5796206545508
Lunches,LightGBM,61164.89272727272,1133.5796206545508
Lunches,LightGBM,62135.764040404036,1133.5796206545508
Lunches,LightGBM,63106.63535353535,1133.5796206545508
Lunches,LightGBM,64077.50666666666,1133.5796206545508
Lunches,LightGBM,65048.37797979797,1165.1879783425777
Lunches,LightGBM,66019.2492929293,1165.1879783425777
Lunches,LightGBM,66990.1206060606,1165.1879783425777
Lunches,LightGBM,67960.99191919192,1165.1879783425777
Lunches,LightGBM,68931.86323232323,1165.1879783425777
Lunches,LightGBM,69902.73454545454,1165.1879783425777
Lunches,LightGBM,70873.60585858586,1165.1879783425777
Lunches,LightGBM,71844.47717171717,1165.1879783425777
Lunches,LightGBM,72815.34848484848,1165.1879783425777
Lunches,LightGBM,73786.2197979798,1165.1879783425777
Lunches,LightGBM,74757.0911111111,1165.1879783425777
Lunches,LightGBM,75727.96242424242,1165.1879783425777
Lunches,LightGBM,76698.83373737373,1165.1879783425777
Lunches,LightGBM,77669.70505050504,1164.801770805825
Lunches,LightGBM,78640.57636363636,1164.801770805825
Lunches,LightGBM,79611.44767676767,1164.801770805825
Lunches,LightGBM,80582.31898989898,1164.801770805825
Lunches,LightGBM,81553.1903030303,1164.801770805825
Lunches,LightGBM,82524.0616161616,1164.801770805825
Lunches,LightGBM,83494.93292929292,1164.801770805825
Lunches,LightGBM,84465.80424242423,1164.801770805825
Lunches,LightGBM,85436.67555555554,1164.801770805825
Lunches,LightGBM,86407.54686868686,1164.801770805825
Lunches,LightGBM,87378.41818181818,1164.801770805825
Lunches,LightGBM,88349.2894949495,1164.801770805825
Lunches,LightGBM,89320.16080808081,1164.801770805825
Lunches,LightGBM,90291.03212121212,1164.801770805825
Lunches,LightGBM,91261.90343434343,1160.980029057681
Lunches,LightGBM,92232.77474747474,1160.980029057681
Lunches,LightGBM,93203.64606060606,1160.980029057681
Lunches,LightGBM,94174.51737373737,1160.980029057681
Lunches,LightGBM,95145.38868686868,1160.980029057681
Lunches,LightGBM,96116.26,1160.980029057681
Afternoons,CatBoost,0.0,1270.1247398832204
Afternoons,CatBoost,970.8713131313131,1258.3134959021058
Afternoons,CatBoost,1941.7426262626261,1257.1766444979469
Afternoons,CatBoost,2912.6139393939393,1252.4012731826947
Afternoons,CatBoost,3883.4852525252522,1240.1499596695026
Afternoons,CatBoost,4854.356565656565,1240.1499596695026
Afternoons,CatBoost,5825.227878787879,1231.0890291458556
Afternoons,CatBoost,6796.099191919191,1185.1599722413353
Afternoons,CatBoost,7766.9705050505045,1184.1061342463897
Afternoons,CatBoost,8737.841818181818,1184.8243690247261
Afternoons,CatBoost,9708.71313131313,1184.8243690247261
Afternoons,CatBoost,10679.584444444443,1184.8447269384305
Afternoons,CatBoost,11650.455757575757,1184.8447269384305
Afternoons,CatBoost,12621.32707070707,1184.8447269384305
Afternoons,CatBoost,13592.198383838382,1184.8447269384305
Afternoons,CatBoost,14563.069696969696,1184.8447269384305
Afternoons,CatBoost,15533.941010101009,1184.8447269384305
Afternoons,CatBoost,16504.812323232323,1184.8447269384305
Afternoons,CatBoost,17475.683636363636,1184.8447269384305
Afternoons,CatBoost,18446.55494949495,1184.840815660872
Afternoons,CatBoost,19417.42626262626,1185.027426686978
Afternoons,CatBoost,20388.297575757573,1185.027426686978
Afternoons,CatBoost,21359.168888888886,1186.7093094062575
Afternoons,CatBoost,22330.040202020202,1186.7093094062575
Afternoons,CatBoost,23300.911515151514,1186.7093094062575
Afternoons,CatBoost,24271.782828282827,1186.7093094062575
Afternoons,CatBoost,25242.65414141414,1186.7093094062575
Afternoons,CatBoost,26213.52545454545,1186.7093094062575
Afternoons,CatBoost,27184.396767676764,1186.7093094062575
Afternoons,CatBoost,28155.26808080808,1186.7093094062575
Afternoons,CatBoost,29126.139393939393,1186.7093094062575
Afternoons,CatBoost,30097.010707070705,1187.0017178136586
Afternoons,CatBoost,31067.882020202018,1187.0017178136586
Afternoons,CatBoost,32038.75333333333,1187.0017178136586
Afternoons,CatBoost,33009.62464646465,1187.0017178136586
Afternoons,CatBoost,33980.49595959596,1187.0017178136586
Afternoons,CatBoost,34951.36727272727,1187.0017178136586
Afternoons,CatBoost,35922.238585858584,1188.1357521887553
Afternoons,CatBoost,36893.1098989899,1188.1357521887553
Afternoons,CatBoost,37863.98121212121,1188.1357521887553
Afternoons,CatBoost,38834.85252525252,1188.1357521887553
Afternoons,CatBoost,39805.723838383834,1188.1357521887553
Afternoons,CatBoost,40776.59515151515,1188.1357521887553
Afternoons,CatBoost,41747.46646464646,1188.1357521887553
Afternoons,CatBoost,42718.33777777777,1188.1357521887553
Afternoons,CatBoost,43689.20909090909,1188.1357521887553
Afternoons,CatBoost,44660.080404040404,1188.1357521887553
Afternoons,CatBoost,45630.951717171716,1192.1019708775125
Afternoons,CatBoost,46601.82303030303,1192.1019708775125
Afternoons,CatBoost,47572.69434343434,1192.4377074537483
Afternoons,CatBoost,48543.56565656565,1192.4377074537483
Afternoons,CatBoost,49514.436969696966,1192.4377074537483
Afternoons,CatBoost,50485.30828282828,1192.4377074537483
Afternoons,CatBoost,51456.17959595959,1192.4377074537483
Afternoons,CatBoost,52427.0509090909,1192.4377074537483
Afternoons,CatBoost,53397.922222222216,1192.4377074537483
Afternoons,CatBoost,54368.79353535353,1192.4377074537483
Afternoons,CatBoost,55339.66484848484,1192.4377074537483
Afternoons,CatBoost,56310.53616161616,1192.4377074537483
Afternoons,CatBoost,57281.40747474747,1192.4377074537483
Afternoons,CatBoost,58252.278787878786,1192.4377074537483
Afternoons,CatBoost,59223.1501010101,1192.4377074537483
Afternoons,CatBoost,60194.02141414141,1192.4377074537483
Afternoons,CatBoost,61164.89272727272,1192.4377074537483
Afternoons,CatBoost,62135.764040404036,1192.4377074537483
Afternoons,CatBoost,63106.63535353535,1192.4377074537483
Afternoons,CatBoost,64077.50666666666,1192.4377074537483
Afternoons,CatBoost,65048.37797979797,1196.7088905245223
Afternoons,CatBoost,66019.2492929293,1196.7088905245223
Afternoons,CatBoost,66990.1206060606,1196.7088905245223
Afternoons,CatBoost,67960.99191919192,1196.7088905245223
Afternoons,CatBoost,68931.86323232323,1196.7088905245223
Afternoons,CatBoost,69902.73454545454,1196.7088905245223
Afternoons,CatBoost,70873.60585858586,1196.7088905245223
Afternoons,CatBoost,71844.47717171717,1196.7088905245223
Afternoons,CatBoost,72815.34848484848,1196.7088905245223
Afternoons,CatBoost,73786.2197979798,1196.7088905245223
Afternoons,CatBoost,74757.0911111111,1196.7088905245223
Afternoons,CatBoost,75727.96242424242,1196.7088905245223
Afternoons,CatBoost,76698.83373737373,1196.7088905245223
Afternoons,CatBoost,77669.70505050504,1196.479707560898
Afternoons,CatBoost,78640.57636363636,1196.479707560898
Afternoons,CatBoost,79611.44767676767,1196.479707560898
Afternoons,CatBoost,80582.31898989898,1196.479707560898
Afternoons,CatBoost,81553.1903030303,1196.479707560898
Afternoons,CatBoost,82524.0616161616,1196.479707560898
Afternoons,CatBoost,83494.93292929292,1196.479707560898
Afternoons,CatBoost,84465.80424242423,1196.479707560898
Afternoons,CatBoost,85436.67555555554,1196.479707560898
Afternoons,CatBoost,86407.54686868686,1196.479707560898
Afternoons,CatBoost,87378.41818181818,1196.479707560898
Afternoons,CatBoost,88349.2894949495,1196.479707560898
Afternoons,CatBoost,89320.16080808081,1196.479707560898
Afternoons,CatBoost,90291.03212121212,1196.479707560898
Afternoons,CatBoost,91261.90343434343,1198.2533244857884
Afternoons,CatBoost,92232.77474747474,1198.2533244857884
Afternoons,CatBoost,93203.64606060606,1198.2533244857884
Afternoons,CatBoost,94174.51737373737,1198.2533244857884
Afternoons,CatBoost,95145.38868686868,1198.2533244857884
Afternoons,CatBoost,96116.26,1198.2533244857884
Afternoons,XGBoost,0.0,1213.37939453125
Afternoons,XGBoost,970.8713131313131,1210.15087890625
Afternoons,XGBoost,1941.7426262626261,1235.715576171875
Afternoons,XGBoost,2912.6139393939393,1236.29736328125
Afternoons,XGBoost,3883.4852525252522,1228.876708984375
Afternoons,XGBoost,4854.356565656565,1229.8721923828125
Afternoons,XGBoost,5825.227878787879,1228.8973388671875
Afternoons,XGBoost,6796.099191919191,1228.4835205078125
Afternoons,XGBoost,7766.9705050505045,1228.229736328125
Afternoons,XGBoost,8737.841818181818,1232.46044921875
Afternoons,XGBoost,9708.71313131313,1236.7083740234375
Afternoons,XGBoost,10679.584444444443,1235.808349609375
Afternoons,XGBoost,11650.455757575757,1235.808349609375
Afternoons,XGBoost,12621.32707070707,1235.808349609375
Afternoons,XGBoost,13592.198383838382,1235.808349609375
Afternoons,XGBoost,14563.069696969696,1235.808349609375
Afternoons,XGBoost,15533.941010101009,1235.808349609375
Afternoons,XGBoost,16504.812323232323,1241.534912109375
Afternoons,XGBoost,17475.683636363636,1241.534912109375
Afternoons,XGBoost,18446.55494949495,1240.511962890625
Afternoons,XGBoost,19417.42626262626,1240.511962890625
Afternoons,XGBoost,20388.297575757573,1240.4215087890625
Afternoons,XGBoost,21359.168888888886,1240.4215087890625
Afternoons,XGBoost,22330.040202020202,1240.4215087890625
Afternoons,XGBoost,23300.911515151514,1246.84912109375
Afternoons,XGBoost,24271.782828282827,1246.84912109375
Afternoons,XGBoost,25242.65414141414,1246.84912109375
Afternoons,XGBoost,26213.52545454545,1246.875244140625
Afternoons,XGBoost,27184.396767676764,1246.875244140625
Afternoons,XGBoost,28155.26808080808,1246.875244140625
