Dataset,Model,Temperature,Predicted Value
Evenings,XGBoost,11.691666666666666,523.8864135742188
Evenings,XGBoost,11.998232323232324,532.0631713867188
Evenings,XGBoost,12.30479797979798,538.1488037109375
Evenings,XGBoost,12.611363636363636,558.3031616210938
Evenings,XGBoost,12.917929292929294,588.767822265625
Evenings,XGBoost,13.22449494949495,557.2655639648438
Evenings,XGBoost,13.531060606060606,547.2510375976562
Evenings,XGBoost,13.837626262626262,537.3998413085938
Evenings,XGBoost,14.14419191919192,531.8486328125
Evenings,XGBoost,14.450757575757576,545.8153686523438
Evenings,XGBoost,14.757323232323232,549.1051025390625
Evenings,XGBoost,15.06388888888889,553.8917236328125
Evenings,XGBoost,15.370454545454546,585.129638671875
Evenings,XGBoost,15.677020202020202,585.893310546875
Evenings,XGBoost,15.98358585858586,584.1199340820312
Evenings,XGBoost,16.290151515151518,607.6878662109375
Evenings,XGBoost,16.596717171717174,614.28076171875
Evenings,XGBoost,16.90328282828283,608.7694091796875
Evenings,XGBoost,17.209848484848486,604.9987182617188
Evenings,XGBoost,17.516414141414142,592.8662109375
Evenings,XGBoost,17.822979797979798,591.232421875
Evenings,XGBoost,18.129545454545454,590.3955078125
Evenings,XGBoost,18.436111111111114,593.9500122070312
Evenings,XGBoost,18.74267676767677,591.6570434570312
Evenings,XGBoost,19.049242424242426,591.8634033203125
Evenings,XGBoost,19.35580808080808,599.55712890625
Evenings,XGBoost,19.662373737373738,591.1425170898438
Evenings,XGBoost,19.968939393939394,593.0447387695312
Evenings,XGBoost,20.275505050505053,600.3902587890625
Evenings,XGBoost,20.58207070707071,600.3902587890625
Evenings,XGBoost,20.888636363636365,599.6127319335938
Evenings,XGBoost,21.19520202020202,617.534423828125
Evenings,XGBoost,21.501767676767678,596.4397583007812
Evenings,XGBoost,21.808333333333334,596.4397583007812
Evenings,XGBoost,22.11489898989899,597.9751586914062
Evenings,XGBoost,22.42146464646465,595.7960815429688
Evenings,XGBoost,22.728030303030305,597.3392333984375
Evenings,XGBoost,23.03459595959596,596.880859375
Evenings,XGBoost,23.341161616161617,603.4013671875
Evenings,XGBoost,23.647727272727273,613.0828247070312
Evenings,XGBoost,23.95429292929293,613.0828247070312
Evenings,XGBoost,24.26085858585859,613.0828247070312
Evenings,XGBoost,24.567424242424245,613.3800659179688
Evenings,XGBoost,24.8739898989899,613.3800659179688
Evenings,XGBoost,25.180555555555557,607.4703979492188
Evenings,XGBoost,25.487121212121213,607.4703979492188
Evenings,XGBoost,25.79368686868687,607.4703979492188
Evenings,XGBoost,26.100252525252525,607.4703979492188
Evenings,XGBoost,26.406818181818185,607.4703979492188
Evenings,XGBoost,26.71338383838384,596.8809204101562
Evenings,XGBoost,27.019949494949497,596.8809204101562
Evenings,XGBoost,27.326515151515153,596.8809204101562
Evenings,XGBoost,27.63308080808081,596.8809204101562
Evenings,XGBoost,27.939646464646465,596.8809204101562
Evenings,XGBoost,28.246212121212125,596.8809204101562
Evenings,XGBoost,28.55277777777778,596.8809204101562
Evenings,XGBoost,28.859343434343437,596.8809204101562
Evenings,XGBoost,29.165909090909093,596.8809204101562
Evenings,XGBoost,29.47247474747475,596.8809204101562
Evenings,XGBoost,29.779040404040405,596.8809204101562
Evenings,XGBoost,30.085606060606064,596.8809204101562
Evenings,XGBoost,30.39217171717172,596.8809204101562
Evenings,XGBoost,30.698737373737377,596.8809204101562
Evenings,XGBoost,31.005303030303033,596.8809204101562
Evenings,XGBoost,31.31186868686869,596.8809204101562
Evenings,XGBoost,31.618434343434345,596.8809204101562
Evenings,XGBoost,31.925,596.8809204101562
Mornings Special,CatBoost,6.7,286.6444723056321
Mornings Special,CatBoost,6.975757575757576,286.6444723056321
Mornings Special,CatBoost,7.251515151515152,286.6444723056321
Mornings Special,CatBoost,7.527272727272727,286.16541359199465
Mornings Special,CatBoost,7.803030303030303,284.57927451477707
Mornings Special,CatBoost,8.078787878787878,280.6413994841871
Mornings Special,CatBoost,8.354545454545455,285.1122097814961
Mornings Special,CatBoost,8.63030303030303,285.1122097814961
Mornings Special,CatBoost,8.906060606060606,287.5522584756077
Mornings Special,CatBoost,9.181818181818182,286.671129501068
Mornings Special,CatBoost,9.457575757575757,287.9011799353156
Mornings Special,CatBoost,9.733333333333334,285.5545014372064
Mornings Special,CatBoost,10.00909090909091,285.1499042227914
Mornings Special,CatBoost,10.284848484848485,284.7303994709615
Mornings Special,CatBoost,10.56060606060606,282.85211690721184
Mornings Special,CatBoost,10.836363636363636,280.16891166085037
Mornings Special,CatBoost,11.112121212121213,281.2492250823803
Mornings Special,CatBoost,11.387878787878787,281.98354233161507
Mornings Special,CatBoost,11.663636363636364,286.66450157672205
Mornings Special,CatBoost,11.93939393939394,283.2294055871243
Mornings Special,CatBoost,12.215151515151515,290.0789265264048
