Dataset,Model,Building view mean,Predicted Value
Mornings,LightGBM,0.24711411411411388,736.9184365818492
Mornings,LightGBM,0.2508252798252796,736.9184365818492
Mornings,LightGBM,0.25453644553644533,736.9184365818492
Mornings,LightGBM,0.25824761124761103,737.3109510500409
Mornings,LightGBM,0.26195877695877673,737.3109510500409
Mornings,LightGBM,0.2656699426699424,737.3109510500409
Mornings,LightGBM,0.2693811083811081,736.3926421364338
Mornings,LightGBM,0.2730922740922738,736.3926421364338
Mornings,LightGBM,0.2768034398034396,735.8572529579551
Mornings,LightGBM,0.2805146055146053,735.8572529579551
Mornings,LightGBM,0.284225771225771,728.9642159314186
Mornings,LightGBM,0.28793693693693667,728.9717764199806
Mornings,LightGBM,0.29164810264810237,728.9717764199806
Mornings,LightGBM,0.29535926835926807,728.9717764199806
Mornings,LightGBM,0.29907043407043377,728.9957509317592
Mornings,LightGBM,0.30278159978159946,731.5863543705146
Mornings,LightGBM,0.3064927654927652,731.5863543705146
Mornings,LightGBM,0.3102039312039309,731.5863543705146
Mornings,LightGBM,0.3139150969150966,731.5863543705146
