Dataset,Model,Footprint mean,Predicted Value
Afternoons,CatBoost,16709.08417171717,1255.0766211019948
Afternoons,CatBoost,16894.513454545453,1255.0766211019948
Afternoons,CatBoost,17079.942737373738,1255.0766211019948
Afternoons,CatBoost,17265.37202020202,1255.0766211019948
Afternoons,CatBoost,17450.801303030305,1255.0766211019948
Afternoons,CatBoost,17636.230585858586,1255.0766211019948
Afternoons,CatBoost,17821.659868686867,1255.0766211019948
Afternoons,CatBoost,18007.089151515152,1255.0766211019948
Afternoons,CatBoost,18192.518434343434,1255.0766211019948
Afternoons,CatBoost,18377.94771717172,1255.0766211019948
Afternoons,CatBoost,18563.377,1255.0766211019948
Mornings Special,CatBoost,205.878,259.231310553151
Mornings Special,CatBoost,391.30728282828284,257.90598137023096
Mornings Special,CatBoost,576.7365656565656,257.9410719245471
Mornings Special,CatBoost,762.1658484848485,257.88844921248705
Mornings Special,CatBoost,947.5951313131313,333.4431241056284
Mornings Special,CatBoost,1133.0244141414141,334.4308163753418
Mornings Special,CatBoost,1318.453696969697,334.55537423708097
Mornings Special,CatBoost,1503.8829797979797,334.7067150685858
Mornings Special,CatBoost,1689.3122626262625,334.94960176603763
Mornings Special,CatBoost,1874.7415454545453,334.9019276270579
Mornings Special,CatBoost,2060.170828282828,333.44259194854516
Mornings Special,CatBoost,2245.600111111111,333.44259194854516
Mornings Special,CatBoost,2431.029393939394,333.44259194854516
Mornings Special,CatBoost,2616.458676767677,333.44259194854516
Mornings Special,CatBoost,2801.8879595959597,333.585215434154
Mornings Special,CatBoost,2987.3172424242425,334.128946549541
Mornings Special,CatBoost,3172.7465252525253,334.6865022110304
Mornings Special,CatBoost,3358.175808080808,334.6865022110304
Mornings Special,CatBoost,3543.605090909091,334.6865022110304
Mornings Special,CatBoost,3729.0343737373737,334.6865022110304
Mornings Special,CatBoost,3914.4636565656565,334.6865022110304
Mornings Special,CatBoost,4099.892939393939,334.6865022110304
Mornings Special,CatBoost,4285.322222222222,334.53183754360055
Mornings Special,CatBoost,4470.751505050504,334.53183754360055
Mornings Special,CatBoost,4656.180787878788,334.53183754360055
Mornings Special,CatBoost,4841.61007070707,334.53183754360055
Mornings Special,CatBoost,5027.039353535353,334.74304785665856
Mornings Special,CatBoost,5212.468636363636,334.74304785665856
Mornings Special,CatBoost,5397.897919191919,334.74304785665856
Mornings Special,CatBoost,5583.327202020201,334.74304785665856
Mornings Special,CatBoost,5768.756484848484,334.74304785665856
Mornings Special,CatBoost,5954.185767676767,334.74304785665856
Mornings Special,CatBoost,6139.61505050505,334.80964076463346
Mornings Special,CatBoost,6325.044333333333,334.80964076463346
Mornings Special,CatBoost,6510.473616161616,334.80964076463346
Mornings Special,CatBoost,6695.902898989899,334.80964076463346
Mornings Special,CatBoost,6881.332181818181,334.80964076463346
Mornings Special,CatBoost,7066.761464646464,334.80964076463346
Mornings Special,CatBoost,7252.190747474747,334.80964076463346
Mornings Special,CatBoost,7437.62003030303,334.80964076463346
Mornings Special,CatBoost,7623.049313131312,334.80964076463346
Mornings Special,CatBoost,7808.478595959596,334.80964076463346
Mornings Special,CatBoost,7993.907878787878,334.80964076463346
Mornings Special,CatBoost,8179.337161616161,334.80964076463346
Mornings Special,CatBoost,8364.766444444444,334.80964076463346
Mornings Special,CatBoost,8550.195727272727,334.80964076463346
Mornings Special,CatBoost,8735.62501010101,334.80964076463346
Mornings Special,CatBoost,8921.054292929293,334.80964076463346
Mornings Special,CatBoost,9106.483575757577,334.1862369433654
Mornings Special,CatBoost,9291.91285858586,334.1862369433654
Mornings Special,CatBoost,9477.342141414141,334.1862369433654
Mornings Special,CatBoost,9662.771424242424,334.1862369433654
Mornings Special,CatBoost,9848.200707070708,334.1862369433654
Mornings Special,CatBoost,10033.629989898991,334.1862369433654
Mornings Special,CatBoost,10219.059272727272,334.1862369433654
Mornings Special,CatBoost,10404.488555555556,334.1862369433654
Mornings Special,CatBoost,10589.917838383839,334.1862369433654
