Dataset,Model,5 Bus count,Predicted Value
Mornings,XGBoost,11.666666666666668,634.6137084960938
Mornings,XGBoost,11.818181818181818,634.6137084960938
Mornings,XGBoost,11.96969696969697,634.6137084960938
Mornings,XGBoost,12.121212121212121,634.6137084960938
Mornings,XGBoost,12.272727272727273,634.6137084960938
Mornings,XGBoost,12.424242424242424,634.6137084960938
Mornings,XGBoost,12.575757575757576,634.6137084960938
Mornings,XGBoost,12.727272727272728,634.6137084960938
Mornings,XGBoost,12.878787878787879,634.6137084960938
Mornings,XGBoost,13.030303030303031,634.6137084960938
Mornings,XGBoost,13.181818181818182,634.6137084960938
Mornings,XGBoost,13.333333333333334,634.6137084960938
Mornings,XGBoost,13.484848484848484,634.6137084960938
Mornings,XGBoost,13.636363636363637,634.6137084960938
Mornings,XGBoost,13.787878787878789,634.6137084960938
Mornings,XGBoost,13.93939393939394,634.6137084960938
Mornings,XGBoost,14.090909090909092,634.6137084960938
Mornings,XGBoost,14.242424242424242,634.6137084960938
Mornings,XGBoost,14.393939393939394,634.6137084960938
Mornings,XGBoost,14.545454545454547,634.6137084960938
Mornings,XGBoost,14.696969696969697,634.6137084960938
Mornings,XGBoost,14.84848484848485,634.6137084960938
Mornings,XGBoost,15.0,634.6137084960938
