Dataset,Model,Day,Predicted Value
Evenings,XGBoost,26.151515151515152,538.5055541992188
Evenings,XGBoost,26.454545454545457,538.5055541992188
Evenings,XGBoost,26.757575757575758,538.5055541992188
Evenings,XGBoost,27.060606060606062,539.3931274414062
Evenings,XGBoost,27.363636363636363,539.3931274414062
Evenings,XGBoost,27.666666666666668,539.3931274414062
Evenings,XGBoost,27.96969696969697,539.3931274414062
Evenings,XGBoost,28.272727272727273,537.9204711914062
Evenings,XGBoost,28.575757575757578,537.9204711914062
Evenings,XGBoost,28.87878787878788,537.9204711914062
Evenings,XGBoost,29.181818181818183,538.615478515625
Evenings,XGBoost,29.484848484848484,538.615478515625
Evenings,XGBoost,29.78787878787879,538.615478515625
Evenings,XGBoost,30.090909090909093,525.460205078125
Evenings,XGBoost,30.393939393939394,525.460205078125
Evenings,XGBoost,30.6969696969697,525.460205078125
Evenings,XGBoost,31.0,623.74755859375
Mornings Special,CatBoost,1.0,293.96915143877334
Mornings Special,CatBoost,1.303030303030303,293.96915143877334
Mornings Special,CatBoost,1.606060606060606,283.6869252420465
Mornings Special,CatBoost,1.9090909090909092,283.6869252420465
Mornings Special,CatBoost,2.212121212121212,283.6869252420465
Mornings Special,CatBoost,2.515151515151515,283.8559729387799
Mornings Special,CatBoost,2.8181818181818183,283.8559729387799
Mornings Special,CatBoost,3.121212121212121,283.8559729387799
Mornings Special,CatBoost,3.4242424242424243,283.8559729387799
Mornings Special,CatBoost,3.7272727272727275,285.90036673832066
Mornings Special,CatBoost,4.03030303030303,285.90036673832066
Mornings Special,CatBoost,4.333333333333334,285.90036673832066
Mornings Special,CatBoost,4.636363636363637,289.5419544323641
Mornings Special,CatBoost,4.9393939393939394,289.5419544323641
Mornings Special,CatBoost,5.242424242424242,289.5419544323641
Mornings Special,CatBoost,5.545454545454546,290.98209345028545
Mornings Special,CatBoost,5.848484848484849,290.98209345028545
Mornings Special,CatBoost,6.151515151515151,290.98209345028545
Mornings Special,CatBoost,6.454545454545455,290.98209345028545
Mornings Special,CatBoost,6.757575757575758,292.83635523211046
Mornings Special,CatBoost,7.0606060606060606,292.83635523211046
Mornings Special,CatBoost,7.363636363636364,292.83635523211046
Mornings Special,CatBoost,7.666666666666667,291.84691832613163
Mornings Special,CatBoost,7.96969696969697,291.84691832613163
Mornings Special,CatBoost,8.272727272727273,291.84691832613163
Mornings Special,CatBoost,8.575757575757576,292.77760444698265
Mornings Special,CatBoost,8.878787878787879,292.77760444698265
Mornings Special,CatBoost,9.181818181818182,292.77760444698265
Mornings Special,CatBoost,9.484848484848484,292.77760444698265
Mornings Special,CatBoost,9.787878787878789,293.04862513952605
Mornings Special,CatBoost,10.090909090909092,293.04862513952605
Mornings Special,CatBoost,10.393939393939394,293.04862513952605
