Dataset,Model,Year,Predicted Value
Afternoons,CatBoost,2012.3333333333333,1199.83184968375
Afternoons,CatBoost,2012.4343434343434,1199.83184968375
Afternoons,CatBoost,2012.5353535353536,1185.3244801855474
Afternoons,CatBoost,2012.6363636363637,1185.3244801855474
Afternoons,CatBoost,2012.7373737373737,1185.3244801855474
Afternoons,CatBoost,2012.8383838383838,1185.3244801855474
Afternoons,CatBoost,2012.939393939394,1185.3244801855474
Afternoons,CatBoost,2013.040404040404,1185.3244801855474
Afternoons,CatBoost,2013.141414141414,1185.3244801855474
Afternoons,CatBoost,2013.2424242424242,1185.3244801855474
Afternoons,CatBoost,2013.3434343434344,1185.3244801855474
Afternoons,CatBoost,2013.4444444444443,1185.3244801855474
Afternoons,CatBoost,2013.5454545454545,1186.972386110671
Afternoons,CatBoost,2013.6464646464647,1186.972386110671
Afternoons,CatBoost,2013.7474747474748,1186.972386110671
Afternoons,CatBoost,2013.8484848484848,1186.972386110671
Afternoons,CatBoost,2013.949494949495,1186.972386110671
Afternoons,CatBoost,2014.050505050505,1186.972386110671
Afternoons,CatBoost,2014.1515151515152,1186.972386110671
Afternoons,CatBoost,2014.2525252525252,1186.972386110671
Afternoons,CatBoost,2014.3535353535353,1186.972386110671
Afternoons,CatBoost,2014.4545454545455,1186.972386110671
Afternoons,CatBoost,2014.5555555555557,1211.5091114122097
Afternoons,CatBoost,2014.6565656565656,1211.5091114122097
Afternoons,CatBoost,2014.7575757575758,1211.5091114122097
Afternoons,CatBoost,2014.858585858586,1211.5091114122097
Afternoons,CatBoost,2014.959595959596,1211.5091114122097
Afternoons,CatBoost,2015.060606060606,1211.5091114122097
Afternoons,CatBoost,2015.1616161616162,1211.5091114122097
Afternoons,CatBoost,2015.2626262626263,1211.5091114122097
Afternoons,CatBoost,2015.3636363636363,1211.5091114122097
Afternoons,CatBoost,2015.4646464646464,1211.5091114122097
Afternoons,CatBoost,2015.5656565656566,1253.2438414337678
Afternoons,CatBoost,2015.6666666666667,1253.2438414337678
Afternoons,CatBoost,2015.7676767676767,1253.2438414337678
Afternoons,CatBoost,2015.8686868686868,1253.2438414337678
Afternoons,CatBoost,2015.969696969697,1253.2438414337678
