Dataset,Model,Total precipitation,Predicted Value
Afternoons,CatBoost,4.822893939393939,1128.7721593480708
Afternoons,CatBoost,4.888068181818182,1128.7721593480708
Afternoons,CatBoost,4.953242424242425,1128.7721593480708
Afternoons,CatBoost,5.018416666666667,1128.7721593480708
Afternoons,CatBoost,5.083590909090909,1128.7721593480708
Afternoons,CatBoost,5.148765151515152,1128.7721593480708
Afternoons,CatBoost,5.213939393939394,1128.7721593480708
Afternoons,CatBoost,5.279113636363636,1128.7721593480708
Afternoons,CatBoost,5.344287878787879,1128.7721593480708
Afternoons,CatBoost,5.409462121212122,1128.7721593480708
Afternoons,CatBoost,5.474636363636364,1128.7721593480708
Afternoons,CatBoost,5.539810606060606,1128.7721593480708
Afternoons,CatBoost,5.604984848484849,1128.7721593480708
Afternoons,CatBoost,5.670159090909091,1128.7721593480708
Afternoons,CatBoost,5.735333333333333,1128.7721593480708
Afternoons,CatBoost,5.800507575757576,1128.7721593480708
Afternoons,CatBoost,5.865681818181819,1128.7721593480708
Afternoons,CatBoost,5.930856060606061,1128.7721593480708
Afternoons,CatBoost,5.996030303030303,1128.7721593480708
Afternoons,CatBoost,6.061204545454546,1128.7721593480708
Afternoons,CatBoost,6.126378787878788,1128.7721593480708
Afternoons,CatBoost,6.19155303030303,1128.7721593480708
Afternoons,CatBoost,6.256727272727273,1128.7721593480708
Afternoons,CatBoost,6.321901515151516,1128.7721593480708
Afternoons,CatBoost,6.387075757575758,1128.7721593480708
Afternoons,CatBoost,6.45225,1128.7721593480708
Afternoons,XGBoost,0.0,1240.5970458984375
Afternoons,XGBoost,0.06517424242424243,1199.365478515625
Afternoons,XGBoost,0.13034848484848485,1225.4293212890625
Afternoons,XGBoost,0.1955227272727273,1227.6136474609375
Afternoons,XGBoost,0.2606969696969697,1183.0458984375
Afternoons,XGBoost,0.3258712121212121,1167.0870361328125
Afternoons,XGBoost,0.3910454545454546,1164.1099853515625
Afternoons,XGBoost,0.456219696969697,1180.45361328125
Afternoons,XGBoost,0.5213939393939394,1167.67333984375
Afternoons,XGBoost,0.5865681818181818,1176.2808837890625
Afternoons,XGBoost,0.6517424242424242,1183.5120849609375
Afternoons,XGBoost,0.7169166666666666,1182.11669921875
Afternoons,XGBoost,0.7820909090909092,1217.0111083984375
Afternoons,XGBoost,0.8472651515151516,1217.2965087890625
Afternoons,XGBoost,0.912439393939394,1186.470703125
Afternoons,XGBoost,0.9776136363636364,1186.4609375
Afternoons,XGBoost,1.0427878787878788,1184.24169921875
Afternoons,XGBoost,1.1079621212121213,1165.840576171875
Afternoons,XGBoost,1.1731363636363636,1165.840576171875
Afternoons,XGBoost,1.2383106060606062,1188.4873046875
Afternoons,XGBoost,1.3034848484848485,1188.4873046875
Afternoons,XGBoost,1.368659090909091,1188.4873046875
Afternoons,XGBoost,1.4338333333333333,1190.4664306640625
Afternoons,XGBoost,1.4990075757575758,1190.4664306640625
Afternoons,XGBoost,1.5641818181818183,1190.4664306640625
Afternoons,XGBoost,1.6293560606060606,1190.4664306640625
Afternoons,XGBoost,1.6945303030303032,1189.6683349609375
Afternoons,XGBoost,1.7597045454545455,1189.6683349609375
Afternoons,XGBoost,1.824878787878788,1189.6683349609375
Afternoons,XGBoost,1.8900530303030303,1189.6683349609375
Afternoons,XGBoost,1.9552272727272728,1177.9918212890625
Afternoons,XGBoost,2.0204015151515153,1177.9918212890625
Afternoons,XGBoost,2.0855757575757576,1177.9918212890625
Afternoons,XGBoost,2.15075,1177.9918212890625
Afternoons,XGBoost,2.2159242424242427,1177.9918212890625
Afternoons,XGBoost,2.281098484848485,1177.9918212890625
Afternoons,XGBoost,2.3462727272727273,1177.9918212890625
Afternoons,XGBoost,2.4114469696969696,1177.9918212890625
Afternoons,XGBoost,2.4766212121212123,1177.9918212890625
Afternoons,XGBoost,2.5417954545454546,1177.9918212890625
Afternoons,XGBoost,2.606969696969697,1177.9918212890625
Afternoons,XGBoost,2.6721439393939397,1177.9918212890625
Afternoons,XGBoost,2.737318181818182,1177.9918212890625
Afternoons,XGBoost,2.8024924242424243,1177.9918212890625
Afternoons,XGBoost,2.8676666666666666,1177.9918212890625
Afternoons,XGBoost,2.9328409090909093,1177.9918212890625
Afternoons,XGBoost,2.9980151515151516,1177.9918212890625
Afternoons,XGBoost,3.063189393939394,1177.9918212890625
Afternoons,XGBoost,3.1283636363636367,1177.9918212890625
Afternoons,XGBoost,3.193537878787879,1177.9918212890625
Afternoons,XGBoost,3.2587121212121213,1177.9918212890625
Afternoons,XGBoost,3.3238863636363636,1177.9918212890625
Afternoons,XGBoost,3.3890606060606063,1177.9918212890625
Afternoons,XGBoost,3.4542348484848486,1177.9918212890625
Afternoons,XGBoost,3.519409090909091,1177.9918212890625
Afternoons,XGBoost,3.5845833333333332,1177.9918212890625
Afternoons,XGBoost,3.649757575757576,1177.9918212890625
Afternoons,XGBoost,3.7149318181818183,1177.9918212890625
Afternoons,XGBoost,3.7801060606060606,1177.9918212890625
Afternoons,XGBoost,3.8452803030303033,1177.9918212890625
Afternoons,XGBoost,3.9104545454545456,1177.9918212890625
Afternoons,XGBoost,3.975628787878788,1177.9918212890625
Afternoons,XGBoost,4.040803030303031,1177.9918212890625
Afternoons,XGBoost,4.105977272727273,1177.9918212890625
Afternoons,XGBoost,4.171151515151515,1177.9918212890625
Afternoons,XGBoost,4.236325757575758,1177.9918212890625
Afternoons,XGBoost,4.3015,1177.9918212890625
Afternoons,XGBoost,4.366674242424242,1177.9918212890625
Afternoons,XGBoost,4.431848484848485,1177.9918212890625
Afternoons,XGBoost,4.497022727272728,1177.9918212890625
Afternoons,XGBoost,4.56219696969697,1177.9918212890625
Afternoons,XGBoost,4.627371212121212,1177.9918212890625
Afternoons,XGBoost,4.692545454545455,1177.9918212890625
Afternoons,XGBoost,4.757719696969697,1177.9918212890625
Afternoons,XGBoost,4.822893939393939,1177.9918212890625
Afternoons,XGBoost,4.888068181818182,1177.9918212890625
Afternoons,XGBoost,4.953242424242425,1177.9918212890625
Afternoons,XGBoost,5.018416666666667,1177.9918212890625
Afternoons,XGBoost,5.083590909090909,1177.9918212890625
Afternoons,XGBoost,5.148765151515152,1177.9918212890625
Afternoons,XGBoost,5.213939393939394,1177.9918212890625
Afternoons,XGBoost,5.279113636363636,1177.9918212890625
Afternoons,XGBoost,5.344287878787879,1177.9918212890625
