Dataset,Model,Longitude,Predicted Value
Mornings,CatBoost,144.96409164545454,722.5862601053591
Mornings,CatBoost,144.9644303219192,722.370458497516
Mornings,CatBoost,144.96476899838385,724.7128628446227
Mornings,CatBoost,144.9651076748485,724.7128628446227
Mornings,CatBoost,144.96544635131312,724.0885519218742
Mornings,CatBoost,144.96578502777777,724.0785772191261
Mornings,CatBoost,144.96612370424242,724.0454538623579
Mornings,CatBoost,144.96646238070707,724.0454538623579
Mornings,CatBoost,144.96680105717172,724.0454538623579
Mornings,CatBoost,144.96713973363637,724.0454538623579
Mornings,CatBoost,144.96747841010102,724.0767793066315
Mornings,CatBoost,144.96781708656565,724.0767793066315
Mornings,CatBoost,144.9681557630303,724.0767793066315
Mornings,CatBoost,144.96849443949495,724.0767793066315
Mornings,CatBoost,144.9688331159596,724.0767793066315
Mornings,CatBoost,144.96917179242425,724.0767793066315
Mornings,CatBoost,144.9695104688889,724.0767793066315
Mornings,CatBoost,144.96984914535355,724.0767793066315
Mornings,CatBoost,144.97018782181817,724.0767793066315
Mornings,CatBoost,144.97052649828282,724.0767793066315
Mornings,CatBoost,144.97086517474747,724.0767793066315
Mornings,CatBoost,144.97120385121212,724.0767793066315
Mornings,CatBoost,144.97154252767677,724.0767793066315
Mornings,CatBoost,144.97188120414143,724.0767793066315
Mornings,CatBoost,144.97221988060605,724.0767793066315
Mornings,CatBoost,144.9725585570707,724.0767793066315
Mornings,CatBoost,144.97289723353535,724.0767793066315
Mornings,CatBoost,144.97323591,747.5245193656452
Lunches,CatBoost,144.93970694,1089.1077011155398
Lunches,CatBoost,144.94004561646466,1089.1077011155398
Lunches,CatBoost,144.9403842929293,1089.1077011155398
Lunches,CatBoost,144.94072296939396,1089.1077011155398
Lunches,CatBoost,144.94106164585858,1089.1077011155398
Lunches,CatBoost,144.94140032232323,1089.1077011155398
Lunches,CatBoost,144.94173899878788,1089.1077011155398
Lunches,CatBoost,144.94207767525253,1089.1077011155398
Lunches,CatBoost,144.94241635171718,1089.1077011155398
Lunches,CatBoost,144.94275502818184,1089.1077011155398
Lunches,CatBoost,144.94309370464646,1089.1077011155398
Lunches,CatBoost,144.9434323811111,1089.1077011155398
Lunches,CatBoost,144.94377105757576,1089.1077011155398
Lunches,CatBoost,144.9441097340404,1089.1077011155398
Lunches,CatBoost,144.94444841050506,1089.1077011155398
Lunches,CatBoost,144.9447870869697,1089.1077011155398
Lunches,CatBoost,144.94512576343436,1089.1077011155398
Lunches,CatBoost,144.94546443989898,1089.1077011155398
Lunches,CatBoost,144.94580311636363,1089.1077011155398
Lunches,CatBoost,144.94614179282829,1089.1077011155398
Lunches,CatBoost,144.94648046929294,1089.1077011155398
Lunches,CatBoost,144.9468191457576,1089.1077011155398
Lunches,CatBoost,144.94715782222224,1089.1077011155398
Lunches,CatBoost,144.9474964986869,1089.1077011155398
Lunches,CatBoost,144.9478351751515,1089.1077011155398
Lunches,CatBoost,144.94817385161616,1089.1077011155398
Lunches,CatBoost,144.9485125280808,1089.1077011155398
Lunches,CatBoost,144.94885120454546,1089.1077011155398
Lunches,CatBoost,144.9491898810101,1089.1077011155398
Lunches,CatBoost,144.94952855747476,1089.1077011155398
Lunches,CatBoost,144.9498672339394,1089.1077011155398
Lunches,CatBoost,144.95020591040404,1089.1077011155398
Lunches,CatBoost,144.9505445868687,1089.1077011155398
Lunches,CatBoost,144.95088326333334,1089.1077011155398
Lunches,CatBoost,144.951221939798,1089.1077011155398
Lunches,CatBoost,144.95156061626264,1089.1077011155398
Lunches,CatBoost,144.9518992927273,1089.1077011155398
Lunches,CatBoost,144.9522379691919,1089.1077011155398
Lunches,CatBoost,144.95257664565656,1089.1077011155398
Lunches,CatBoost,144.9529153221212,1089.1077011155398
Lunches,CatBoost,144.95325399858586,1089.1077011155398
Lunches,CatBoost,144.95359267505052,1089.1077011155398
Lunches,CatBoost,144.95393135151517,1089.1077011155398
Lunches,CatBoost,144.9542700279798,1089.1077011155398
Lunches,CatBoost,144.95460870444444,1087.05832129643
Lunches,CatBoost,144.9549473809091,1087.05832129643
Lunches,CatBoost,144.95528605737374,1087.05832129643
Lunches,CatBoost,144.9556247338384,1087.1340554482874
Lunches,CatBoost,144.95596341030304,1087.1340554482874
Lunches,CatBoost,144.9563020867677,1087.1340554482874
Lunches,CatBoost,144.95664076323231,1087.1340554482874
Lunches,CatBoost,144.95697943969697,1087.1340554482874
Lunches,CatBoost,144.95731811616162,1087.1340554482874
Lunches,CatBoost,144.95765679262627,1087.1340554482874
Lunches,CatBoost,144.95799546909092,1087.1340554482874
Lunches,CatBoost,144.95833414555557,1087.1340554482874
Lunches,CatBoost,144.95867282202022,1087.1340554482874
Lunches,CatBoost,144.95901149848484,1087.1340554482874
Lunches,CatBoost,144.9593501749495,1087.1340554482874
Lunches,CatBoost,144.95968885141414,1087.1340554482874
Lunches,CatBoost,144.9600275278788,1087.1340554482874
Lunches,CatBoost,144.96036620434344,1087.1340554482874
Lunches,CatBoost,144.9607048808081,1087.152647195971
Lunches,CatBoost,144.96104355727272,1087.152647195971
Lunches,CatBoost,144.96138223373737,1087.152647195971
Lunches,CatBoost,144.96172091020202,1087.0552495551783
Lunches,CatBoost,144.96205958666667,1087.3107121329263
Lunches,CatBoost,144.96239826313132,1114.697853150575
Lunches,CatBoost,144.96273693959597,1114.697853150575
Lunches,CatBoost,144.96307561606062,1114.7810388488165
Lunches,CatBoost,144.96341429252524,1114.7810388488165
Lunches,CatBoost,144.9637529689899,1115.953512258815
Lunches,CatBoost,144.96409164545454,1115.8985282426706
Lunches,CatBoost,144.9644303219192,1128.2263538474915
Lunches,CatBoost,144.96476899838385,1128.0402071954747
Lunches,CatBoost,144.9651076748485,1128.0402071954747
Lunches,CatBoost,144.96544635131312,1120.2595342725886
Lunches,CatBoost,144.96578502777777,1120.3301301220151
Lunches,CatBoost,144.96612370424242,1120.3301301220151
Lunches,CatBoost,144.96646238070707,1120.9118466456705
Lunches,CatBoost,144.96680105717172,1120.9703244855843
Lunches,CatBoost,144.96713973363637,1120.9703244855843
