Dataset,Model,Day type,Predicted Value
All,XGBoost,0.6767676767676768,627.9327392578125
All,XGBoost,0.686868686868687,627.9327392578125
All,XGBoost,0.696969696969697,627.9327392578125
All,XGBoost,0.7070707070707072,627.9327392578125
All,XGBoost,0.7171717171717172,627.9327392578125
All,XGBoost,0.7272727272727273,627.9327392578125
All,XGBoost,0.7373737373737375,627.9327392578125
All,XGBoost,0.7474747474747475,627.9327392578125
All,XGBoost,0.7575757575757577,627.9327392578125
All,XGBoost,0.7676767676767677,627.9327392578125
All,XGBoost,0.7777777777777778,627.9327392578125
All,XGBoost,0.787878787878788,627.9327392578125
All,XGBoost,0.797979797979798,627.9327392578125
All,XGBoost,0.8080808080808082,627.9327392578125
All,XGBoost,0.8181818181818182,627.9327392578125
All,XGBoost,0.8282828282828284,627.9327392578125
All,XGBoost,0.8383838383838385,627.9327392578125
All,XGBoost,0.8484848484848485,627.9327392578125
All,XGBoost,0.8585858585858587,627.9327392578125
All,XGBoost,0.8686868686868687,627.9327392578125
All,XGBoost,0.8787878787878789,627.9327392578125
All,XGBoost,0.888888888888889,627.9327392578125
All,XGBoost,0.8989898989898991,627.9327392578125
All,XGBoost,0.9090909090909092,627.9327392578125
All,XGBoost,0.9191919191919192,627.9327392578125
All,XGBoost,0.9292929292929294,627.9327392578125
All,XGBoost,0.9393939393939394,627.9327392578125
All,XGBoost,0.9494949494949496,627.9327392578125
All,XGBoost,0.9595959595959597,627.9327392578125
All,XGBoost,0.9696969696969697,627.9327392578125
All,XGBoost,0.9797979797979799,627.9327392578125
All,XGBoost,0.98989898989899,627.9327392578125
All,XGBoost,1.0,513.6483764648438
