Dataset,Model,15 Dwelling count,Predicted Value
Mornings,CatBoost,22015.181818181816,775.622537790442
Mornings,CatBoost,22310.434343434343,775.622537790442
Mornings,CatBoost,22605.686868686866,775.622537790442
Mornings,CatBoost,22900.939393939392,774.9486658147424
Mornings,CatBoost,23196.19191919192,774.9486658147424
Mornings,CatBoost,23491.44444444444,774.6965878633778
Mornings,CatBoost,23786.696969696968,774.6965878633778
Mornings,CatBoost,24081.949494949495,774.6965878633778
Mornings,CatBoost,24377.202020202018,774.6965878633778
Mornings,CatBoost,24672.454545454544,768.9259302178089
Mornings,CatBoost,24967.70707070707,766.2961423719581
Mornings,CatBoost,25262.959595959594,765.5991745061746
Mornings,CatBoost,25558.21212121212,765.5991745061746
Mornings,CatBoost,25853.464646464643,765.5991745061746
Mornings,CatBoost,26148.71717171717,765.5991745061746
Mornings,CatBoost,26443.969696969696,765.5991745061746
Mornings,CatBoost,26739.22222222222,765.6061802667505
Mornings,CatBoost,27034.474747474746,766.069534462989
Mornings,CatBoost,27329.727272727272,766.1221125108401
Mornings,CatBoost,27624.979797979795,766.1221125108401
Mornings,CatBoost,27920.23232323232,766.1221125108401
Mornings,CatBoost,28215.484848484848,766.1221125108401
Mornings,CatBoost,28510.73737373737,756.8140233580632
Mornings,CatBoost,28805.989898989897,756.8140233580632
Mornings,CatBoost,29101.242424242424,756.8140233580632
Mornings,CatBoost,29396.494949494947,756.8140233580632
Mornings,CatBoost,29691.747474747473,756.8140233580632
Mornings,CatBoost,29987.0,756.8140233580632
Mornings,LightGBM,757.0,645.9994382402037
Mornings,LightGBM,1052.2525252525252,645.9994382402037
Mornings,LightGBM,1347.5050505050503,645.9994382402037
Mornings,LightGBM,1642.7575757575758,645.9994382402037
Mornings,LightGBM,1938.010101010101,645.9994382402037
Mornings,LightGBM,2233.2626262626263,645.9994382402037
Mornings,LightGBM,2528.5151515151515,645.9994382402037
Mornings,LightGBM,2823.7676767676767,645.9994382402037
Mornings,LightGBM,3119.020202020202,645.9994382402037
Mornings,LightGBM,3414.272727272727,649.6726251176968
Mornings,LightGBM,3709.525252525252,649.6726251176968
Mornings,LightGBM,4004.7777777777774,649.6726251176968
Mornings,LightGBM,4300.030303030303,649.6726251176968
Mornings,LightGBM,4595.282828282829,649.6726251176968
Mornings,LightGBM,4890.535353535353,649.6726251176968
Mornings,LightGBM,5185.787878787878,649.6726251176968
