Dataset,Model,5 Total transit stop count,Predicted Value
Lunches,LightGBM,21.141414141414142,1140.5151724202724
Lunches,LightGBM,21.373737373737374,1140.5151724202724
Lunches,LightGBM,21.606060606060606,1140.5151724202724
Lunches,LightGBM,21.838383838383837,1140.5151724202724
Lunches,LightGBM,22.07070707070707,1140.5151724202724
Lunches,LightGBM,22.303030303030305,1140.5151724202724
Lunches,LightGBM,22.535353535353536,1140.5151724202724
Lunches,LightGBM,22.767676767676768,1140.5151724202724
Lunches,LightGBM,23.0,1140.5151724202724
Lunches,XGBoost,0.0,1075.427490234375
Lunches,XGBoost,0.23232323232323232,1075.427490234375
Lunches,XGBoost,0.46464646464646464,1075.427490234375
Lunches,XGBoost,0.696969696969697,1075.427490234375
Lunches,XGBoost,0.9292929292929293,1075.427490234375
Lunches,XGBoost,1.1616161616161615,1075.427490234375
Lunches,XGBoost,1.393939393939394,1075.427490234375
Lunches,XGBoost,1.6262626262626263,1075.427490234375
Lunches,XGBoost,1.8585858585858586,1075.427490234375
Lunches,XGBoost,2.090909090909091,1075.427490234375
Lunches,XGBoost,2.323232323232323,1075.427490234375
Lunches,XGBoost,2.5555555555555554,1075.427490234375
Lunches,XGBoost,2.787878787878788,1075.427490234375
Lunches,XGBoost,3.0202020202020203,1074.8883056640625
Lunches,XGBoost,3.2525252525252526,1074.8883056640625
Lunches,XGBoost,3.484848484848485,1074.8883056640625
Lunches,XGBoost,3.717171717171717,1074.8883056640625
Lunches,XGBoost,3.9494949494949494,1074.8883056640625
Lunches,XGBoost,4.181818181818182,1075.2021484375
Lunches,XGBoost,4.414141414141414,1075.2021484375
Lunches,XGBoost,4.646464646464646,1075.2021484375
Lunches,XGBoost,4.878787878787879,1075.2021484375
Lunches,XGBoost,5.111111111111111,1075.199951171875
Lunches,XGBoost,5.343434343434343,1075.199951171875
Lunches,XGBoost,5.575757575757576,1075.199951171875
Lunches,XGBoost,5.808080808080808,1075.199951171875
Lunches,XGBoost,6.040404040404041,1075.2437744140625
Lunches,XGBoost,6.2727272727272725,1075.2437744140625
Lunches,XGBoost,6.505050505050505,1075.2437744140625
Lunches,XGBoost,6.737373737373737,1075.2437744140625
