Dataset,Model,5 Edge length avg,Predicted Value
Lunches Special,LightGBM,17.69316486849926,934.9009394990904
Lunches Special,LightGBM,17.946402101510486,934.9009394990904
Lunches Special,LightGBM,18.199639334521713,934.9009394990904
Lunches Special,LightGBM,18.45287656753294,934.9009394990904
Lunches Special,LightGBM,18.706113800544166,934.9009394990904
Lunches Special,LightGBM,18.959351033555393,934.9009394990904
Lunches Special,LightGBM,19.21258826656662,934.3987479616405
Lunches Special,LightGBM,19.465825499577846,934.3987479616405
Lunches Special,LightGBM,19.71906273258907,934.3987479616405
Lunches Special,LightGBM,19.972299965600296,934.3987479616405
Lunches Special,LightGBM,20.225537198611523,932.6633857035146
Lunches Special,LightGBM,20.47877443162275,932.6633857035146
Lunches Special,LightGBM,20.732011664633976,932.6633857035146
Lunches Special,LightGBM,20.985248897645203,932.6633857035146
Lunches Special,LightGBM,21.23848613065643,932.2726010659364
Lunches Special,LightGBM,21.491723363667656,932.2726010659364
Lunches Special,LightGBM,21.744960596678883,932.2726010659364
Lunches Special,LightGBM,21.99819782969011,932.2726010659364
Lunches Special,LightGBM,22.251435062701336,930.0797017784366
Lunches Special,LightGBM,22.504672295712563,930.0797017784366
Lunches Special,LightGBM,22.757909528723786,931.4056256414435
Lunches Special,LightGBM,23.011146761735013,922.6725761213712
Lunches Special,LightGBM,23.26438399474624,921.9700114768802
Lunches Special,LightGBM,23.517621227757466,923.9957909953555
Lunches Special,LightGBM,23.770858460768693,916.5687287516819
Lunches Special,LightGBM,24.02409569377992,916.9527770029194
Lunches Special,LightGBM,24.277332926791146,920.7264826547457
Lunches Special,LightGBM,24.530570159802373,921.5157729368639
Lunches Special,LightGBM,24.7838073928136,915.2280550354325
Lunches Special,LightGBM,25.037044625824826,915.1977662523068
Lunches Special,LightGBM,25.290281858836053,915.4098356398289
Lunches Special,LightGBM,25.54351909184728,915.4794799925347
Lunches Special,LightGBM,25.796756324858507,915.6281533802149
Lunches Special,LightGBM,26.049993557869733,915.6096100059726
Lunches Special,LightGBM,26.30323079088096,915.6096100059726
Lunches Special,LightGBM,26.556468023892187,916.2087108008715
Lunches Special,LightGBM,26.809705256903413,924.314565899631
Lunches Special,LightGBM,27.06294248991464,926.353079685664
Lunches Special,LightGBM,27.316179722925867,926.353079685664
Lunches Special,LightGBM,27.569416955937093,926.353079685664
Lunches Special,LightGBM,27.82265418894832,926.353079685664
