Dataset,Model,5 Building use diversity,Predicted Value
All,XGBoost,0.08543501039347651,559.2665405273438
All,XGBoost,0.08742187110030154,559.2273559570312
All,XGBoost,0.08940873180712658,559.2273559570312
All,XGBoost,0.09139559251395162,559.0223999023438
All,XGBoost,0.09338245322077665,558.76904296875
All,XGBoost,0.09536931392760169,558.76904296875
All,XGBoost,0.09735617463442672,558.76904296875
All,XGBoost,0.09934303534125176,558.76904296875
All,XGBoost,0.1013298960480768,558.76904296875
All,XGBoost,0.10331675675490183,558.76904296875
All,XGBoost,0.10530361746172687,558.76904296875
All,XGBoost,0.1072904781685519,558.76904296875
All,XGBoost,0.10927733887537694,558.76904296875
All,XGBoost,0.11126419958220196,558.76904296875
