Dataset,Model,Hour,Predicted Value
All,XGBoost,16.95959595959596,1131.06201171875
All,XGBoost,17.19191919191919,1336.1339111328125
All,XGBoost,17.424242424242426,1336.1339111328125
All,XGBoost,17.656565656565657,1336.1339111328125
All,XGBoost,17.88888888888889,1336.1339111328125
All,XGBoost,18.12121212121212,1012.9036254882812
All,XGBoost,18.353535353535353,1012.9036254882812
All,XGBoost,18.585858585858585,1012.9036254882812
All,XGBoost,18.818181818181817,1012.9036254882812
All,XGBoost,19.050505050505052,732.17724609375
All,XGBoost,19.282828282828284,732.17724609375
All,XGBoost,19.515151515151516,732.17724609375
All,XGBoost,19.747474747474747,732.17724609375
All,XGBoost,19.97979797979798,732.17724609375
All,XGBoost,20.21212121212121,588.4269409179688
All,XGBoost,20.444444444444443,588.4269409179688
All,XGBoost,20.67676767676768,588.4269409179688
All,XGBoost,20.90909090909091,588.4269409179688
All,XGBoost,21.141414141414142,501.77783203125
All,XGBoost,21.373737373737374,501.77783203125
All,XGBoost,21.606060606060606,501.77783203125
All,XGBoost,21.838383838383837,501.77783203125
All,XGBoost,22.07070707070707,401.62371826171875
All,XGBoost,22.303030303030305,401.62371826171875
All,XGBoost,22.535353535353536,401.62371826171875
All,XGBoost,22.767676767676768,401.62371826171875
All,XGBoost,23.0,261.7593994140625
