Dataset,Model,Building count,Predicted Value
Mornings Special,LightGBM,81.21212121212122,263.65358336164354
Mornings Special,LightGBM,82.0909090909091,263.65358336164354
Mornings Special,LightGBM,82.96969696969697,263.65358336164354
Mornings Special,LightGBM,83.84848484848484,263.65358336164354
Mornings Special,LightGBM,84.72727272727273,274.25993601001534
Mornings Special,LightGBM,85.60606060606061,274.25993601001534
Mornings Special,LightGBM,86.48484848484848,274.25993601001534
Mornings Special,LightGBM,87.36363636363636,274.25993601001534
Mornings Special,LightGBM,88.24242424242424,274.25993601001534
Mornings Special,LightGBM,89.12121212121212,274.25993601001534
Mornings Special,LightGBM,90.0,274.25993601001534
Mornings Special,XGBoost,3.0,601.79833984375
Mornings Special,XGBoost,3.878787878787879,601.79833984375
Mornings Special,XGBoost,4.757575757575758,606.8349609375
Mornings Special,XGBoost,5.636363636363637,295.89129638671875
Mornings Special,XGBoost,6.515151515151516,295.6431884765625
Mornings Special,XGBoost,7.393939393939394,295.5702209472656
Mornings Special,XGBoost,8.272727272727273,295.6399841308594
Mornings Special,XGBoost,9.151515151515152,295.4842529296875
Mornings Special,XGBoost,10.030303030303031,295.4842529296875
Mornings Special,XGBoost,10.90909090909091,295.4842529296875
Mornings Special,XGBoost,11.787878787878787,295.4842529296875
Mornings Special,XGBoost,12.666666666666666,295.4842529296875
Mornings Special,XGBoost,13.545454545454545,295.4842529296875
Mornings Special,XGBoost,14.424242424242424,295.4842529296875
Mornings Special,XGBoost,15.303030303030303,295.6174011230469
Mornings Special,XGBoost,16.18181818181818,295.6174011230469
Mornings Special,XGBoost,17.060606060606062,295.6174011230469
Mornings Special,XGBoost,17.939393939393938,295.6174011230469
Mornings Special,XGBoost,18.81818181818182,295.6174011230469
Mornings Special,XGBoost,19.696969696969695,293.0400390625
Mornings Special,XGBoost,20.575757575757574,293.0400390625
Mornings Special,XGBoost,21.454545454545453,293.0400390625
Mornings Special,XGBoost,22.333333333333332,293.0400390625
Mornings Special,XGBoost,23.21212121212121,293.104248046875
Mornings Special,XGBoost,24.09090909090909,293.104248046875
Mornings Special,XGBoost,24.96969696969697,293.104248046875
Mornings Special,XGBoost,25.848484848484848,293.104248046875
Mornings Special,XGBoost,26.727272727272727,293.3324279785156
Mornings Special,XGBoost,27.606060606060606,293.3324279785156
Mornings Special,XGBoost,28.484848484848484,292.8537292480469
Mornings Special,XGBoost,29.363636363636363,292.8537292480469
Mornings Special,XGBoost,30.242424242424242,281.9683837890625
Mornings Special,XGBoost,31.12121212121212,281.9683837890625
Mornings Special,XGBoost,32.0,282.0274963378906
Mornings Special,XGBoost,32.878787878787875,282.0274963378906
Mornings Special,XGBoost,33.75757575757576,282.0274963378906
Mornings Special,XGBoost,34.63636363636364,282.0274963378906
Mornings Special,XGBoost,35.515151515151516,282.01422119140625
Mornings Special,XGBoost,36.39393939393939,282.01422119140625
Mornings Special,XGBoost,37.27272727272727,282.01422119140625
Mornings Special,XGBoost,38.15151515151515,282.73370361328125
Mornings Special,XGBoost,39.03030303030303,283.0149841308594
Mornings Special,XGBoost,39.90909090909091,283.0149841308594
Mornings Special,XGBoost,40.78787878787879,283.0149841308594
Mornings Special,XGBoost,41.666666666666664,283.6015930175781
Mornings Special,XGBoost,42.54545454545455,283.6015930175781
Mornings Special,XGBoost,43.42424242424242,283.8616638183594
Mornings Special,XGBoost,44.303030303030305,283.9435729980469
Mornings Special,XGBoost,45.18181818181818,283.9435729980469
Mornings Special,XGBoost,46.06060606060606,283.9435729980469
Mornings Special,XGBoost,46.93939393939394,283.9435729980469
Mornings Special,XGBoost,47.81818181818182,283.9435729980469
Mornings Special,XGBoost,48.696969696969695,284.39337158203125
Mornings Special,XGBoost,49.57575757575758,284.39337158203125
Mornings Special,XGBoost,50.45454545454545,284.39337158203125
Mornings Special,XGBoost,51.333333333333336,284.39337158203125
Mornings Special,XGBoost,52.21212121212121,284.39337158203125
Mornings Special,XGBoost,53.09090909090909,284.39337158203125
Mornings Special,XGBoost,53.96969696969697,284.39337158203125
Mornings Special,XGBoost,54.84848484848485,284.39337158203125
Mornings Special,XGBoost,55.72727272727273,284.39337158203125
Mornings Special,XGBoost,56.60606060606061,284.39337158203125
Mornings Special,XGBoost,57.484848484848484,289.3851623535156
Mornings Special,XGBoost,58.36363636363637,289.3851623535156
Mornings Special,XGBoost,59.24242424242424,289.3851623535156
Mornings Special,XGBoost,60.12121212121212,289.3851623535156
Mornings Special,XGBoost,61.0,289.3851623535156
Mornings Special,XGBoost,61.878787878787875,289.3851623535156
Mornings Special,XGBoost,62.75757575757576,289.3851623535156
Mornings Special,XGBoost,63.63636363636363,289.3851623535156
Mornings Special,XGBoost,64.51515151515152,289.3851623535156
Mornings Special,XGBoost,65.39393939393939,289.3851623535156
Mornings Special,XGBoost,66.27272727272728,293.13720703125
Mornings Special,XGBoost,67.15151515151516,293.13720703125
Mornings Special,XGBoost,68.03030303030303,293.13720703125
Mornings Special,XGBoost,68.9090909090909,293.13720703125
Mornings Special,XGBoost,69.78787878787878,293.13720703125
Mornings Special,XGBoost,70.66666666666667,293.13720703125
Mornings Special,XGBoost,71.54545454545455,293.13720703125
Mornings Special,XGBoost,72.42424242424242,293.13720703125
Mornings Special,XGBoost,73.3030303030303,293.13720703125
Mornings Special,XGBoost,74.18181818181819,293.13720703125
Mornings Special,XGBoost,75.06060606060606,293.13720703125
Mornings Special,XGBoost,75.93939393939394,293.13720703125
Mornings Special,XGBoost,76.81818181818181,293.13720703125
Mornings Special,XGBoost,77.6969696969697,293.13720703125
Mornings Special,XGBoost,78.57575757575758,293.9364318847656
Mornings Special,XGBoost,79.45454545454545,293.9364318847656
Mornings Special,XGBoost,80.33333333333333,293.9364318847656
Mornings Special,XGBoost,81.21212121212122,293.9364318847656
Mornings Special,XGBoost,82.0909090909091,293.9364318847656
Mornings Special,XGBoost,82.96969696969697,293.9364318847656
Mornings Special,XGBoost,83.84848484848484,293.9364318847656
