Dataset,Model,15 Job count,Predicted Value
All,XGBoost,276166.84848484845,655.1858520507812
All,XGBoost,278796.89898989897,655.1858520507812
All,XGBoost,281426.9494949495,655.1858520507812
All,XGBoost,284057.0,655.1858520507812
Mornings,CatBoost,23682.0,715.5335624225314
Mornings,CatBoost,26312.050505050505,715.5335624225314
Mornings,CatBoost,28942.10101010101,716.2709991895005
Mornings,CatBoost,31572.151515151512,715.1205959493061
Mornings,CatBoost,34202.20202020202,715.1205959493061
Mornings,CatBoost,36832.25252525252,715.1205959493061
Mornings,CatBoost,39462.303030303025,713.5503750618509
Mornings,CatBoost,42092.35353535353,713.3033051641667
Mornings,CatBoost,44722.40404040404,714.033936587647
Mornings,CatBoost,47352.454545454544,712.9125065490449
Mornings,CatBoost,49982.505050505046,712.9125065490449
Mornings,CatBoost,52612.555555555555,719.624794019003
Mornings,CatBoost,55242.60606060606,719.768234398899
Mornings,CatBoost,57872.656565656565,716.4393082311442
Mornings,CatBoost,60502.70707070707,716.4393082311442
Mornings,CatBoost,63132.757575757576,716.4393082311442
Mornings,CatBoost,65762.80808080808,716.4393082311442
Mornings,CatBoost,68392.85858585857,716.4393082311442
Mornings,CatBoost,71022.90909090909,716.4393082311442
Mornings,CatBoost,73652.95959595959,719.3035398675167
Mornings,CatBoost,76283.01010101009,719.3035398675167
Mornings,CatBoost,78913.06060606061,719.3035398675167
