Dataset,Model,15 Intersection density,Predicted Value
Afternoons,XGBoost,0.0013066203890867083,1160.9798583984375
Afternoons,XGBoost,0.0013189718680823737,1160.9798583984375
Afternoons,XGBoost,0.0013313233470780394,1160.7552490234375
Afternoons,XGBoost,0.001343674826073705,1160.4320068359375
Afternoons,XGBoost,0.0013560263050693708,1160.7076416015625
Afternoons,XGBoost,0.0013683777840650365,1160.7076416015625
Afternoons,XGBoost,0.001380729263060702,1160.7076416015625
Afternoons,XGBoost,0.0013930807420563678,1160.7076416015625
Afternoons,XGBoost,0.0014054322210520333,1160.7076416015625
Afternoons,XGBoost,0.001417783700047699,1160.7076416015625
Afternoons,XGBoost,0.0014301351790433647,1160.7076416015625
Afternoons,XGBoost,0.0014424866580390304,1160.7076416015625
Afternoons,XGBoost,0.001454838137034696,1160.7076416015625
Afternoons,XGBoost,0.0014671896160303615,1160.7076416015625
Afternoons,XGBoost,0.0014795410950260274,1160.7076416015625
Afternoons,XGBoost,0.001491892574021693,1160.7076416015625
Afternoons,XGBoost,0.0015042440530173586,1160.7076416015625
Afternoons,XGBoost,0.0015165955320130243,1160.7076416015625
Afternoons,XGBoost,0.00152894701100869,1160.7076416015625
Afternoons,XGBoost,0.0015412984900043556,1160.7076416015625
Afternoons,XGBoost,0.0015536499690000211,1160.7076416015625
Afternoons,XGBoost,0.001566001447995687,1160.7076416015625
Afternoons,XGBoost,0.0015783529269913525,1160.7076416015625
Afternoons,XGBoost,0.0015907044059870182,1160.7076416015625
Afternoons,XGBoost,0.0016030558849826839,1160.7076416015625
Afternoons,XGBoost,0.0016154073639783495,1160.7076416015625
