Dataset,Model,Visual complexity mean,Predicted Value
Mornings Special,CatBoost,1.943335905307981,335.4791976789803
Mornings Special,CatBoost,1.9492526488708548,335.4791976789803
Mornings Special,CatBoost,1.9551693924337288,335.4791976789803
Mornings Special,CatBoost,1.9610861359966025,335.4791976789803
Mornings Special,CatBoost,1.9670028795594763,335.4791976789803
Mornings Special,CatBoost,1.9729196231223503,335.4791976789803
Mornings Special,CatBoost,1.978836366685224,335.4791976789803
Mornings Special,CatBoost,1.9847531102480978,335.4791976789803
Mornings Special,CatBoost,1.9906698538109717,335.4791976789803
Mornings Special,CatBoost,1.9965865973738457,335.4791976789803
Mornings Special,CatBoost,2.0025033409367192,335.4791976789803
Mornings Special,CatBoost,2.008420084499593,335.4791976789803
Mornings Special,CatBoost,2.014336828062467,335.4791976789803
Mornings Special,CatBoost,2.020253571625341,336.6364396318233
Mornings Special,CatBoost,2.0261703151882147,336.6364396318233
Mornings Special,CatBoost,2.0320870587510886,336.6364396318233
Mornings Special,CatBoost,2.0380038023139626,336.6364396318233
Mornings Special,CatBoost,2.043920545876836,336.6364396318233
Mornings Special,CatBoost,2.04983728943971,336.6364396318233
Mornings Special,CatBoost,2.055754033002584,336.6364396318233
Mornings Special,CatBoost,2.0616707765654576,336.6364396318233
Mornings Special,CatBoost,2.0675875201283316,336.6364396318233
Mornings Special,CatBoost,2.0735042636912056,336.6364396318233
Mornings Special,CatBoost,2.079421007254079,336.6364396318233
Mornings Special,CatBoost,2.085337750816953,336.6364396318233
Mornings Special,CatBoost,2.091254494379827,336.6364396318233
Mornings Special,CatBoost,2.0971712379427006,336.6364396318233
Mornings Special,CatBoost,2.1030879815055745,336.6364396318233
Mornings Special,CatBoost,2.1090047250684485,336.6364396318233
Mornings Special,CatBoost,2.1149214686313225,336.6364396318233
Mornings Special,CatBoost,2.120838212194196,336.6364396318233
Mornings Special,CatBoost,2.12675495575707,336.6364396318233
Lunches Special,CatBoost,1.54099734303256,841.9919010968365
Lunches Special,CatBoost,1.5469140865954338,841.9919010968365
Lunches Special,CatBoost,1.5528308301583078,843.7782120741443
Lunches Special,CatBoost,1.5587475737211816,843.7782120741443
Lunches Special,CatBoost,1.5646643172840555,843.7782120741443
Lunches Special,CatBoost,1.5705810608469293,843.7782120741443
Lunches Special,CatBoost,1.576497804409803,843.7782120741443
Lunches Special,CatBoost,1.582414547972677,844.0001342337818
Lunches Special,CatBoost,1.5883312915355507,844.0001342337818
Lunches Special,CatBoost,1.5942480350984247,844.0001342337818
Lunches Special,CatBoost,1.6001647786612985,844.0001342337818
Lunches Special,CatBoost,1.6060815222241722,844.0001342337818
Lunches Special,CatBoost,1.6119982657870462,844.0001342337818
Lunches Special,CatBoost,1.61791500934992,844.0001342337818
Lunches Special,CatBoost,1.623831752912794,844.0001342337818
Lunches Special,CatBoost,1.6297484964756677,844.0001342337818
Lunches Special,CatBoost,1.6356652400385414,852.7231949875071
Lunches Special,CatBoost,1.6415819836014154,852.7231949875071
Lunches Special,CatBoost,1.6474987271642891,852.7231949875071
Lunches Special,CatBoost,1.6534154707271629,852.7231949875071
Lunches Special,CatBoost,1.6593322142900369,852.7231949875071
Lunches Special,CatBoost,1.6652489578529106,852.7231949875071
Lunches Special,CatBoost,1.6711657014157846,852.7231949875071
Lunches Special,CatBoost,1.6770824449786583,852.7231949875071
Lunches Special,CatBoost,1.6829991885415323,852.2108145295925
Lunches Special,CatBoost,1.688915932104406,852.2108145295925
Lunches Special,CatBoost,1.6948326756672798,852.448921918495
Lunches Special,CatBoost,1.7007494192301538,851.909675942105
Lunches Special,CatBoost,1.7066661627930275,851.909675942105
Lunches Special,CatBoost,1.7125829063559013,851.909675942105
Lunches Special,CatBoost,1.7184996499187752,851.909675942105
Lunches Special,CatBoost,1.724416393481649,851.909675942105
Lunches Special,CatBoost,1.730333137044523,851.909675942105
Lunches Special,CatBoost,1.7362498806073967,851.8116553889666
Lunches Special,CatBoost,1.7421666241702705,851.8116553889666
Lunches Special,CatBoost,1.7480833677331444,851.8116553889666
Lunches Special,CatBoost,1.7540001112960182,851.8116553889666
Lunches Special,CatBoost,1.7599168548588922,851.8116553889666
Lunches Special,CatBoost,1.765833598421766,851.8116553889666
Lunches Special,CatBoost,1.7717503419846397,857.3277194209218
Lunches Special,CatBoost,1.7776670855475136,857.3277194209218
Lunches Special,CatBoost,1.7835838291103874,855.6203770200798
Lunches Special,CatBoost,1.7895005726732613,854.7376633474731
Lunches Special,CatBoost,1.795417316236135,865.6215596948807
Lunches Special,CatBoost,1.8013340597990088,865.3496469792478
Lunches Special,CatBoost,1.8072508033618828,868.3293292672826
Lunches Special,CatBoost,1.8131675469247566,870.6514461715509
Lunches Special,CatBoost,1.8190842904876305,870.6514461715509
Lunches Special,CatBoost,1.8250010340505043,882.6683489855703
Lunches Special,CatBoost,1.830917777613378,923.2075372564921
Lunches Special,CatBoost,1.836834521176252,923.2075372564921
Lunches Special,CatBoost,1.8427512647391258,923.2075372564921
Lunches Special,CatBoost,1.8486680083019995,916.0038597807388
Lunches Special,CatBoost,1.8545847518648735,949.1996293418684
Lunches Special,CatBoost,1.8605014954277472,949.1996293418684
Lunches Special,CatBoost,1.8664182389906212,975.4456331941615
Lunches Special,CatBoost,1.872334982553495,975.4456331941615
Lunches Special,CatBoost,1.878251726116369,975.4456331941615
Lunches Special,CatBoost,1.8841684696792427,975.4456331941615
Lunches Special,CatBoost,1.8900852132421164,975.4456331941615
Lunches Special,CatBoost,1.8960019568049904,975.4456331941615
Lunches Special,CatBoost,1.9019187003678641,995.4746766177115
Lunches Special,CatBoost,1.907835443930738,995.4746766177115
Lunches Special,CatBoost,1.9137521874936119,1018.0659955460302
Lunches Special,CatBoost,1.9196689310564856,1015.1136482608944
Lunches Special,CatBoost,1.9255856746193596,1015.1136482608944
Lunches Special,CatBoost,1.9315024181822333,1015.1136482608944
Lunches Special,CatBoost,1.9374191617451073,1016.9131505462033
Lunches Special,CatBoost,1.943335905307981,1016.9131505462033
Lunches Special,CatBoost,1.9492526488708548,1016.9131505462033
Lunches Special,CatBoost,1.9551693924337288,1015.6623945340057
Lunches Special,CatBoost,1.9610861359966025,1015.6623945340057
Lunches Special,CatBoost,1.9670028795594763,1015.6623945340057
