Dataset,Model,Road view mean,Predicted Value
Evenings,LightGBM,0.11440067340067343,530.1885723000736
Evenings,LightGBM,0.11873737373737377,522.9637483615676
Evenings,LightGBM,0.12307407407407411,522.9637483615676
Evenings,LightGBM,0.12741077441077445,522.9637483615676
Evenings,LightGBM,0.13174747474747478,522.9637483615676
Evenings,LightGBM,0.1360841750841751,522.9637483615676
Evenings,LightGBM,0.14042087542087545,522.9637483615676
Evenings,LightGBM,0.1447575757575758,522.9637483615676
Evenings,LightGBM,0.1490942760942761,522.9637483615676
Evenings,LightGBM,0.15343097643097647,522.9637483615676
Evenings,LightGBM,0.1577676767676768,523.0314172967513
Evenings,LightGBM,0.16210437710437714,539.1128828277937
Evenings,LightGBM,0.16644107744107747,539.0292591731042
Evenings,LightGBM,0.1707777777777778,539.0429916852663
Evenings,LightGBM,0.17511447811447814,546.6434072234408
Evenings,LightGBM,0.17945117845117847,559.2836225993142
Evenings,LightGBM,0.1837878787878788,559.2157815933804
Evenings,LightGBM,0.18812457912457917,558.4172587260913
Evenings,LightGBM,0.1924612794612795,559.0294301459172
Evenings,LightGBM,0.19679797979797983,559.0294301459172
Evenings,LightGBM,0.20113468013468017,559.0294301459172
Evenings,LightGBM,0.2054713804713805,559.2621164656266
Evenings,LightGBM,0.20980808080808083,559.2621164656266
Evenings,LightGBM,0.21414478114478117,559.3951342270012
Evenings,LightGBM,0.21848148148148153,559.3951342270012
Evenings,LightGBM,0.22281818181818186,559.3951342270012
Evenings,LightGBM,0.2271548821548822,559.3514349065654
Evenings,LightGBM,0.23149158249158253,559.3514349065654
Evenings,LightGBM,0.23582828282828286,600.7237892123791
Evenings,LightGBM,0.2401649831649832,600.6777294427181
Evenings,LightGBM,0.24450168350168353,600.7102148350041
Evenings,LightGBM,0.24883838383838386,601.4054058450364
Evenings,LightGBM,0.25317508417508416,601.4054058450364
Evenings,LightGBM,0.2575117845117846,601.4054058450364
Evenings,LightGBM,0.2618484848484849,601.4054058450364
Evenings,LightGBM,0.2661851851851852,601.3943957491095
Evenings,LightGBM,0.27052188552188555,601.3943957491095
Evenings,LightGBM,0.2748585858585859,601.3943957491095
Evenings,LightGBM,0.2791952861952862,618.477998039627
Evenings,LightGBM,0.2835319865319865,618.477998039627
Evenings,LightGBM,0.28786868686868694,618.477998039627
Evenings,LightGBM,0.29220538720538725,618.477998039627
Evenings,LightGBM,0.29654208754208755,618.477998039627
Evenings,LightGBM,0.30087878787878786,618.477998039627
Evenings,LightGBM,0.3052154882154883,618.477998039627
Evenings,LightGBM,0.3095521885521886,618.3364583264886
Evenings,LightGBM,0.3138888888888889,618.3364583264886
Evenings,LightGBM,0.3182255892255893,618.3364583264886
Evenings,LightGBM,0.3225622895622896,618.3364583264886
Evenings,LightGBM,0.3268989898989899,618.3364583264886
Evenings,LightGBM,0.3312356902356902,618.3364583264886
Evenings,LightGBM,0.33557239057239063,618.3364583264886
Evenings,LightGBM,0.33990909090909094,618.3364583264886
