Dataset,Model,Closeness centrality,Predicted Value
Afternoons Special,LightGBM,0.010696969696969698,894.8587893303214
Afternoons Special,LightGBM,0.010818181818181817,894.8587893303214
Afternoons Special,LightGBM,0.01093939393939394,894.8587893303214
Afternoons Special,LightGBM,0.01106060606060606,894.8587893303214
Afternoons Special,LightGBM,0.011181818181818182,894.8587893303214
Afternoons Special,LightGBM,0.011303030303030303,894.8587893303214
Afternoons Special,LightGBM,0.011424242424242424,894.8587893303214
Afternoons Special,LightGBM,0.011545454545454546,891.4201879383219
Afternoons Special,LightGBM,0.011666666666666665,891.4201879383219
Afternoons Special,LightGBM,0.011787878787878788,891.4201879383219
Afternoons Special,LightGBM,0.011909090909090909,891.4201879383219
